gazetteer_name,place_type,source,match_status,match_method,match_score,osm_name,osm_type,osm_id,osm_class,lon,lat
宝带桥社区,community,seed,matched,exact,1.0,宝带桥社区,node,5403148866,named,120.6402801,31.252537
宝带桥,heritage,seed,matched,exact,1.0,宝带桥,way,460257370,tourism:attraction,120.649476,31.2587641
澹台湖,water,seed,matched,exact,1.0,澹台湖,relation,7359510,natural:water,120.6457856,31.2578039
宝带桥·澹台湖景区,scenic,seed,unmatched,,0,,,,,,
宝带桥·澹台湖核心展示园,scenic,seed,unmatched,,0,,,,,,
大运河国家文化公园,scenic,seed,unmatched,,0,,,,,,
吴中博物馆,culture,seed,review,fuzzy,0.727,吴文化博物馆,way,1049631300,tourism:museum,120.6442089,31.2558181
吴文化博物馆,culture,seed,matched,exact,1.0,吴文化博物馆,way,1049631300,tourism:museum,120.6442089,31.2558181
大运河,waterway,seed,matched,exact,1.0,大运河,way,293947723,waterway:river,120.6449042,31.2770083
京杭大运河,waterway,seed,matched,exact,1.0,京杭大运河,way,148701483,waterway:canal,120.6569172,31.1275905
苏南运河,waterway,seed,unmatched,,0,,,,,,
江南运河,waterway,seed,unmatched,,0,,,,,,
东吴南路,road,seed,matched,exact,1.0,东吴南路,way,147991185,highway:primary,120.6252582,31.2638651
石湖东路,road,seed,matched,exact,1.0,石湖东路,way,443616410,highway:secondary,120.6438266,31.2520953
天灵路,road,seed,matched,exact,1.0,天灵路,way,343176075,highway:secondary,120.6323266,31.2473515
澄湖中路,road,seed,matched,exact,1.0,澄湖中路,way,541359954,highway:tertiary,120.6381702,31.2436063
澄湖东路,road,seed,matched,exact,1.0,澄湖东路,way,523332294,highway:tertiary,120.6498656,31.2434819
迎春南路,road,seed,matched,exact,1.0,迎春南路,way,523621575,highway:tertiary,120.6367146,31.2541242
宝通路,road,seed,matched,exact,1.0,宝通路,way,343176077,highway:tertiary,120.6468,31.2436335
宝丰路,road,seed,matched,exact,1.0,宝丰路,way,523332285,highway:tertiary,120.6374388,31.2416867
古塘河桥,bridge,seed,unmatched,,0,,,,,,
下塔里桥,bridge,seed,unmatched,,0,,,,,,
石湖东路公路桥,bridge,seed,review,fuzzy,0.727,石湖东路,relation,7719901,named,120.625324,31.2553757
石湖东路桥,bridge,seed,matched,contains,0.8,石湖东路,way,443616410,highway:secondary,120.6438266,31.2520953
钱家桥,bridge,seed,unmatched,,0,,,,,,
金家桥,bridge,seed,review,fuzzy,0.857,金家桥南,relation,18358653,named,120.6417547,31.2435817
新家桥,bridge,seed,matched,exact,1.0,新家桥,node,2716415638,railway:station,120.6106184,31.2584772
钱家村河,waterway,seed,unmatched,,0,,,,,,
黄家浜,waterway,seed,unmatched,,0,,,,,,
兴隆河,waterway,seed,unmatched,,0,,,,,,
金家村河,waterway,seed,unmatched,,0,,,,,,
跃进河,waterway,seed,unmatched,,0,,,,,,
澹台湖北运河,waterway,seed,unmatched,,0,,,,,,
牛桩浜东港,waterway,seed,unmatched,,0,,,,,,
金家河,waterway,seed,unmatched,,0,,,,,,
金星内河,waterway,seed,unmatched,,0,,,,,,
新华内河,waterway,seed,unmatched,,0,,,,,,
古塘河,waterway,seed,unmatched,,0,,,,,,
宝南中心河,waterway,seed,unmatched,,0,,,,,,
泥河田港,waterway,seed,unmatched,,0,,,,,,
马桶港,waterway,seed,unmatched,,0,,,,,,
钱家新村,residential,seed,review,fuzzy,0.75,姜家新村,way,1230040495,landuse:residential,120.6535801,31.2745093
宝尹花园,residential,seed,review,fuzzy,0.75,嘉宝花园,way,154409707,landuse:residential,120.6372185,31.2712671
西下田,settlement,seed,unmatched,,0,,,,,,
下田,settlement,seed,review,fuzzy,0.8,下田路,way,1049631301,highway:tertiary,120.6427471,31.2544472
小村,settlement,seed,unmatched,,0,,,,,,
金家村,settlement,seed,unmatched,,0,,,,,,
钱家村,settlement,seed,unmatched,,0,,,,,,
朱塔浜,settlement,seed,unmatched,,0,,,,,,
沉家浜,settlement,seed,unmatched,,0,,,,,,
泥河田,settlement,seed,unmatched,,0,,,,,,
王家浜,settlement,seed,unmatched,,0,,,,,,
港南浜,settlement,seed,unmatched,,0,,,,,,
吴家角,settlement,seed,unmatched,,0,,,,,,
牛桩浜,settlement,seed,unmatched,,0,,,,,,
宝尹,historic_admin,seed,unmatched,,0,,,,,,
宝南,historic_admin,seed,unmatched,,0,,,,,,
碧波实验小学,education,seed,unmatched,,0,,,,,,
碧波中学,education,seed,matched,exact,1.0,碧波中学,way,449710711,amenity:school,120.6378519,31.2524076
宝带桥公园,park,seed,matched,exact,1.0,宝带桥公园,node,10120115430,leisure:park,120.6505396,31.2635548
宝带桥商业大厦,commercial,seed,unmatched,,0,,,,,,
