gazetteer_name,gaode_map_item,place_type,match_status,visual_priority,occurrence_count,in_curated_checklist,primary_year,earliest_year,latest_year,year_list,year_count,time_type,year_source,time_anchor_note,lon,lat,coord_source,coord_status,coord_crs,coord_note,gaode_check_action,first_context,time_context,notes
吴县,吴县,admin_context,context,low,2,1,-221,-221,2001,-221;-140;-87;1912;1929;1934;1937;1941;1945;1947;1949;1953;1957;1961;1983;1987;1992;1995,21,古代-清末,context_sentence,,,,,missing,,,作为边界/方位参照，不一定在辖区内单独标注,勾吴，为吴始称，境域时属吴地。吴王夫差二十三年（前473），吴亡归越，境域为越地。前221年秦置吴县，境域属吴县。唐代析吴县东部置长洲县，境域划归长洲县。历经宋、元、明三朝，至清雍正二年（1724,前221年秦置吴县，境域属吴县。 || 前221年秦置吴县，境域属吴县。 || 1912年1月，吴县、长洲县、元和县合并，称吴县，境域复而归属吴县。,
太湖,太湖,water,review,medium,52,1,-190,-190,2004,-190;1454;1863;1977;1978;2000;2004,7,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,路贯通境域东西，交通便捷；境内有宝带桥·澹台湖景区，景色旖旎。境域属海洋性季风气候，四季分明，受太湖水体调节，气候宜人，雨量充沛，日照充足，无霜期长，宜农宜渔，是典型的江南鱼米之乡。2017年12,汉惠帝五年（前190）夏大旱，太湖涸。 || 景泰五年（1454）正月大雪，历二旬不止，深丈余，太湖诸港连底结冻，舟楫不通。 || 1978年1月10日，150名基干民兵参加东太湖复堤工程建设。,
宝带桥,宝带桥,heritage_bridge,matched,high,455,1,816,-12,2017,-12;810;816;819;1232;1436;1449;1558;1670;1673;1831;1863;1872;1949;1962;1988;1991;1998,28,古代-清末,manual_anchor,元和十一年至十四年（816—819）王仲舒捐带建桥,120.6536904,31.2566100,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,OSM exact -> GCJ-02; 宝带桥,核对高德底图桥名位置,帮助和支持。编纂工作人员通过各种途径，搜集到了不少弥足珍贵的资料，经订立纲目，几易其稿，遂成了《宝带桥社区志》。为此，我们谨代表社区党委、居委会向他们以及所有参与和关心本志编纂工作的人员表示衷心感谢,2017年12月，宝带桥社区总面积3.2平方千米，下辖31个居民小组； || 1949年10月1日，中华人民共和国成立，是月，宝带桥社区境域划归吴县淞北区尹山乡。 || 大事记4商约公元前12世纪泰伯、仲雍建立勾吴，为吴之始称，宝带桥社区境域时属吴地。,
古运河,古运河,waterway,review,medium,18,1,816,816,2019,816;1863;1932;1985;2017;2019,6,古代-清末,context_sentence,,120.6536904,31.2566100,derived_from_related_place,local_anchor_coord,GCJ-02,长线性水系以宝带桥附近作为社区内本地锚点,在高德矢量底图逐项核对同名或近名标签,河流境域在20世纪90年代初期，共有大小内河流39条，总长度16555米。南北纵向的骨干河道有古运河、宝南中心河（原北为廿五港，南为泥河田港）和古塘河；东西纵向的骨干河道有泥河田港（原为宝尹南港河,公元816年，当今世界最发达的北美大陆还处在一片蛮荒之时，一座精美绝伦的长长石桥就侧卧在古运河畔、澹台湖口。 || 于是，一艘船坚炮利的英国战舰悄悄驶入江南古运河，时间是1863年9月29日。 || 录自1985年3月《吴县文史资料第2辑》宝带桥倒塌之谜厅咕楠苏州葑门外的宝带桥，横架在古运河与澹台湖之间的河口上。,
澹台湖,澹台湖,water,matched,high,137,1,819,816,2020,816;819;1984;1991;1992;1997;2004;2005;2013;2016;2020,11,古代-清末,context_sentence,,120.6499934,31.2556431,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,OSM exact -> GCJ-02; 澹台湖,核对高德底图湖面与景区标签,…………59第三节人口变动…………………………………………………………………………67第三章澹台湖·宝带桥………………………………………………………………………73第一节澹台湖……………………,2016年，改建成宝带桥·澹台湖景区。 || 9月，为保护宝带桥，并使运河航行通畅，开掘澹台湖以北运河段，1991年4月告竣，正式通航。 || 2013年3月18日，宝带桥社区根据吴中区建设“宝带桥·澹台湖景区综合整治”要求，对拆迁区域（下田、小村）357户居民实施上门通知动员。,
石湖,石湖,water,review,medium,7,1,1189,1189,2020,1189;1949;1992;2002;2005;2006;2011;2013;2016;2017;2020,11,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,、吴中高新区相望，南接城南街道红庄社区，西连新江、龙南社区，北临江南运河；迎春南路穿越境域南北，石湖东路贯通境域东西，交通便捷；境内有宝带桥·澹台湖景区，景色旖旎。境域属海洋性季风气候，四季分明，,1949年10月后，特别是改革开放划归吴县经济技术开发区后，按建设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路； || 2002年9月1日，地处境域石湖东路35号、占地面积达33076平方米、建筑面积15830平方米的碧波中学建成开学。 || 是年，地处石湖东路占地面积1863.2平方米、建筑面积1257.23平方米的宝南第二幢办公大楼建成启用（2013年因城镇建设规划拆迁）。,
尹山乡,尹山乡,historic_admin,manual,medium,1,1,1488,1488,1950,1488;1724;1912;1947;1948;1949;1950,7,古代-清末,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,，境域复而归属吴县。1949年10月1日，中华人民共和国成立，是月，宝带桥社区境域划归吴县淞北区尹山乡。翌年3月，尹山乡析分长桥、宝带、尹山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带,1949年10月1日，中华人民共和国成立，是月，宝带桥社区境域划归吴县淞北区尹山乡。 || 经宋、元、明三朝，明弘治元年（1488），县以下设乡，境域隶属长洲县尹山乡。 || 清雍正二年（1724）析长洲县东南地置元和县，境域隶属元和县尹山乡。,
长洲县,长洲县,admin_context,context,low,1,1,1488,1488,1912,1488;1637;1724;1912,4,古代-清末,context_sentence,,,,,missing,,,作为边界/方位参照，不一定在辖区内单独标注,夫差二十三年（前473），吴亡归越，境域为越地。前221年秦置吴县，境域属吴县。唐代析吴县东部置长洲县，境域划归长洲县。历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属,历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属元和县。 || 1912年1月，吴县、长洲县、元和县合并，称吴县，境域复而归属吴县。 || 雍正二年（1724）析长洲县东南地置元和县，境域归属元和县。,
元和县,元和县,admin_context,context,low,1,1,1724,1724,1912,1724;1912,2,古代-清末,context_sentence,,,,,missing,,,作为边界/方位参照，不一定在辖区内单独标注,吴县东部置长洲县，境域划归长洲县。历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属元和县。1912年1月，吴县、长洲县、元和县合并，称吴县，境域复而归属吴县。1949年,历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属元和县。 || 历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属元和县。 || 1912年1月，吴县、长洲县、元和县合并，称吴县，境域复而归属吴县。,
澹台子祠,澹台子祠,religious_site,review,medium,3,1,1751,1751,2001,1751;2001,2,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,9月，澹台湖畔新建市民公园，与千年古桥——宝带桥连缀一起，景色如画，成为人们休闲、观光之地。附：澹台子祠为供奉春秋战国时期教育家、孔子七十二弟子之一澹台灭明的澹台子祠，始建于北宋。据史载，澹台灭明字子,乾隆十六年（1751）高宗南巡，诏令明朝云南姚安太守施悌配享祀澹台子祠。 || 2001年7月，里人筹款在宝带桥北首重建澹台子祠，以祀澹台灭明。,
