place_id,name,category,target_layer,display_layer,qgis_geometry,semantic_geometry,geometry_level,x,y,confidence,version,source_map,source_stage,reference_logic,notes
jingchengtu_windows_ocr_001,觀,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13375274.593,3537811.147,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_1; kind=line,"{""bbox_pixel"":[40,163,52,175],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_002,山,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13375449.468,3537833.339,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_1; kind=line,"{""bbox_pixel"":[100.33,156.67,118.33,174.67],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_003,丿寶寶杰英黑,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13375940.969,3537975.171,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_1; kind=line,"{""bbox_pixel"":[217.33,135.67,354,159.33],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_004,丿,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13375773.360,3538032.287,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_1; kind=word,"{""bbox_pixel"":[217.33,137.33,229.33,146.67],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_005,寶,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13375860.164,3537992.322,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_1; kind=word,"{""bbox_pixel"":[250.33,139.67,261.33,152.33],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_006,寶,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13375944.487,3537932.942,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_1; kind=word,"{""bbox_pixel"":[282.33,145,293.33,159.33],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_007,杰,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13375985.208,3537989.692,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_1; kind=word,"{""bbox_pixel"":[295.67,135.67,307.33,155.67],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_008,英,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13376058.577,3537962.368,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_1; kind=word,"{""bbox_pixel"":[321,141,336.67,155.67],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_009,黑,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13376113.105,3538005.061,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_1; kind=word,"{""bbox_pixel"":[341.67,137.33,354,149.33],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_010,礻承城,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13376008.281,3537522.760,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_1; kind=line,"{""bbox_pixel"":[298,190.33,341.33,204.33],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_011,礻,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13375955.986,3537519.062,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_1; kind=word,"{""bbox_pixel"":[298,192,303.33,204],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
