control_id,enabled,name,role,pixel_x,pixel_y,map_x,map_y,source_ocr_id,source_text,ocr_confidence,osm_reference,weight,notes
cp_001,false,浙江病院,ocr_寺观,299.500,941.000,,,1937_rapidocr_0001,浙江病院,0.786453,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_002,false,址亭水巷,ocr_街巷道路,635.165,984.665,,,1937_rapidocr_0002,址亭水巷,0.783923,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_003,false,百井坊巷,ocr_街巷道路,401.000,283.830,,,1937_rapidocr_0003,巷坊井百,0.775137,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_004,false,中正河下街,ocr_街巷道路,262.335,254.665,,,1937_rapidocr_0004,中正河下街,0.751108,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_005,false,十五奎巷,ocr_街巷道路,505.165,1176.500,,,1937_rapidocr_0005,巷奎五十,0.74823,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_006,false,東太平巷,ocr_街巷道路,467.335,1051.665,,,1937_rapidocr_0006,東太平巷,0.735802,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_007,false,街前府,ocr_街巷道路,256.500,1105.335,,,1937_rapidocr_0007,街前府,0.743975,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_008,false,南板巷,ocr_街巷道路,707.000,795.165,,,1937_rapidocr_0008,巷板南,0.741819,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_009,false,郭通园巷,ocr_街巷道路,750.335,1015.165,,,1937_rapidocr_0009,巷园通郭,0.716263,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_010,false,石板巷,ocr_街巷道路,830.500,371.500,,,1937_rapidocr_0010,巷板石,0.724272,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_011,false,海潮寺,ocr_寺观,814.665,1350.335,,,1937_rapidocr_0011,寺潮海,0.722531,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_012,false,大友巷,ocr_街巷道路,305.665,252.835,,,1937_rapidocr_0012,大友巷,0.720605,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_013,false,姚国寺巷,ocr_街巷道路,725.335,1065.000,,,1937_rapidocr_0013,巷寺国姚,0.701155,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_014,false,下刀茅巷,ocr_街巷道路,943.000,463.330,,,1937_rapidocr_0014,下刀茅巷,0.725969,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_015,false,金刷寺巷,ocr_街巷道路,762.830,986.500,,,1937_rapidocr_0015,巷寺刷金,0.695255,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_016,false,延定港,ocr_水系,528.500,581.500,,,1937_rapidocr_0016,延定港,0.704416,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
cp_017,false,龍张御史巷,ocr_街巷道路,716.330,266.330,,,1937_rapidocr_0017,巷史御张龍,0.684059,,1.0,Fill map_x/map_y from OSM/QGIS and set enabled=true only after manual verification.
