level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3240	4455	-1	
2	1	1	0	0	0	2234	0	80	15	-1	
3	1	1	1	0	0	2234	0	80	15	-1	
4	1	1	1	1	0	2234	0	80	15	-1	
5	1	1	1	1	1	2234	0	80	15	0.000000	ee
2	1	2	0	0	0	2834	3	43	12	-1	
3	1	2	1	0	0	2834	3	43	12	-1	
4	1	2	1	1	0	2834	3	43	12	-1	
5	1	2	1	1	1	2834	9	11	6	58.600994	上
5	1	2	1	1	2	2859	3	18	8	11.469231	和
2	1	3	0	0	0	353	0	127	41	-1	
3	1	3	1	0	0	353	0	127	41	-1	
4	1	3	1	1	0	353	0	127	41	-1	
5	1	3	1	1	1	353	0	127	41	16.005112	AA
2	1	4	0	0	0	1826	0	21	33	-1	
3	1	4	1	0	0	1826	0	21	33	-1	
4	1	4	1	1	0	1826	0	21	33	-1	
5	1	4	1	1	1	1826	0	21	33	58.004295	AA
2	1	5	0	0	0	2082	0	151	42	-1	
3	1	5	1	0	0	2082	0	151	42	-1	
4	1	5	1	1	0	2082	0	151	42	-1	
5	1	5	1	1	1	2082	0	151	42	0.000000	還
5	1	5	1	1	2	2210	0	27	46	0.000000	愉
2	1	6	0	0	0	2425	0	317	41	-1	
3	1	6	1	0	0	2425	0	317	41	-1	
4	1	6	1	1	0	2425	0	317	41	-1	
5	1	6	1	1	1	2425	9	39	32	19.826645	3
5	1	6	1	1	2	2479	0	263	30	0.000000	Pa
2	1	7	0	0	0	7	49	99	15	-1	
3	1	7	1	0	0	7	49	99	15	-1	
4	1	7	1	1	0	7	49	99	15	-1	
5	1	7	1	1	1	7	49	99	15	40.834938	了
2	1	8	0	0	0	141	45	124	12	-1	
3	1	8	1	0	0	141	45	124	12	-1	
4	1	8	1	1	0	141	45	124	12	-1	
5	1	8	1	1	1	141	45	124	12	0.659935	人
2	1	9	0	0	0	1524	43	69	26	-1	
3	1	9	1	0	0	1524	43	69	26	-1	
4	1	9	1	1	0	1524	43	69	26	-1	
5	1	9	1	1	1	1524	43	69	26	0.000000	0
2	1	10	0	0	0	1833	30	157	17	-1	
3	1	10	1	0	0	1833	30	157	17	-1	
4	1	10	1	1	0	1833	30	157	17	-1	
5	1	10	1	1	1	1833	35	7	12	11.337326	we
5	1	10	1	1	2	1875	33	14	7	0.000000	吳
5	1	10	1	1	3	1902	32	12	6	9.621696	二
5	1	10	1	1	4	1924	30	17	7	0.000000	二
5	1	10	1	1	5	1946	30	44	9	0.000000	一
2	1	11	0	0	0	2525	63	85	3	-1	
3	1	11	1	0	0	2525	63	85	3	-1	
4	1	11	1	1	0	2525	63	85	3	-1	
5	1	11	1	1	1	2525	63	85	3	56.096375	一
5	1	11	1	1	2	2591	47	23	28	86.769424	一
2	1	12	0	0	0	2599	69	86	4	-1	
3	1	12	1	0	0	2599	69	86	4	-1	
4	1	12	1	1	0	2599	69	86	4	-1	
5	1	12	1	1	1	2599	70	16	3	90.996277	二
5	1	12	1	1	2	2618	70	32	2	72.136368	--
5	1	12	1	1	3	2649	54	25	28	5.787872	一
5	1	12	1	1	4	2672	69	13	4	73.037170	二
2	1	13	0	0	0	2677	60	44	4	-1	
3	1	13	1	0	0	2677	60	44	4	-1	
4	1	13	1	1	0	2677	60	44	4	-1	
5	1	13	1	1	1	2677	60	44	4	0.000000	一
2	1	14	0	0	0	2771	35	49	33	-1	
3	1	14	1	0	0	2771	35	49	33	-1	
4	1	14	1	1	0	2771	35	49	33	-1	
5	1	14	1	1	1	2771	35	49	33	0.000000	NN
2	1	15	0	0	0	2874	42	92	20	-1	
3	1	15	1	0	0	2874	42	92	20	-1	
4	1	15	1	1	0	2874	42	92	20	-1	
5	1	15	1	1	1	2874	43	21	17	3.695160	和
5	1	15	1	1	2	2931	42	35	20	12.753761	店
5	1	15	1	1	3	2952	38	17	33	0.000000	喲
2	1	16	0	0	0	273	34	99	45	-1	
3	1	16	1	0	0	273	34	99	45	-1	
4	1	16	1	1	0	273	34	99	45	-1	
5	1	16	1	1	1	273	34	99	45	25.920197	AA
2	1	17	0	0	0	1458	60	60	26	-1	
3	1	17	1	0	0	1458	60	60	26	-1	
4	1	17	1	1	0	1458	60	60	26	-1	
5	1	17	1	1	1	1458	60	60	26	90.885033	之
5	1	17	1	1	2	1496	56	26	43	14.335068	0
2	1	18	0	0	0	2289	69	96	21	-1	
3	1	18	1	0	0	2289	69	96	21	-1	
4	1	18	1	1	0	2289	69	96	21	-1	
