level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3240	4455	-1	
2	1	1	0	0	0	2234	0	80	15	-1	
3	1	1	1	0	0	2234	0	80	15	-1	
4	1	1	1	1	0	2234	0	80	15	-1	
5	1	1	1	1	1	2234	0	80	15	39.957371	th
2	1	2	0	0	0	2834	3	43	12	-1	
3	1	2	1	0	0	2834	3	43	12	-1	
4	1	2	1	1	0	2834	3	43	12	-1	
5	1	2	1	1	1	2834	3	43	12	22.376358	NN
2	1	3	0	0	0	353	0	127	41	-1	
3	1	3	1	0	0	353	0	127	41	-1	
4	1	3	1	1	0	353	0	127	41	-1	
5	1	3	1	1	1	353	0	127	41	23.402863	才
2	1	4	0	0	0	1826	0	21	33	-1	
3	1	4	1	0	0	1826	0	21	33	-1	
4	1	4	1	1	0	1826	0	21	33	-1	
5	1	4	1	1	1	1826	0	21	33	91.799530	二
2	1	5	0	0	0	2082	0	151	42	-1	
3	1	5	1	0	0	2082	0	151	42	-1	
4	1	5	1	1	0	2082	0	151	42	-1	
5	1	5	1	1	1	2082	0	151	42	0.000000	0
2	1	6	0	0	0	2425	0	317	41	-1	
3	1	6	1	0	0	2425	0	317	41	-1	
4	1	6	1	1	0	2425	0	317	41	-1	
5	1	6	1	1	1	2425	9	39	32	93.489616	3
5	1	6	1	1	2	2479	9	41	21	27.444336	sN
5	1	6	1	1	3	2588	0	1	4	34.994728	|
5	1	6	1	1	4	2598	0	144	18	16.855507	|
2	1	7	0	0	0	7	49	99	15	-1	
3	1	7	1	0	0	7	49	99	15	-1	
4	1	7	1	1	0	7	49	99	15	-1	
5	1	7	1	1	1	7	49	99	15	28.338287	1111
2	1	8	0	0	0	141	45	124	12	-1	
3	1	8	1	0	0	141	45	124	12	-1	
4	1	8	1	1	0	141	45	124	12	-1	
5	1	8	1	1	1	141	45	124	12	10.684669	1ilI1k
2	1	9	0	0	0	1524	43	69	26	-1	
3	1	9	1	0	0	1524	43	69	26	-1	
4	1	9	1	1	0	1524	43	69	26	-1	
5	1	9	1	1	1	1524	43	69	26	85.589516	0
2	1	10	0	0	0	1833	30	157	17	-1	
3	1	10	1	0	0	1833	30	157	17	-1	
4	1	10	1	1	0	1833	30	157	17	-1	
5	1	10	1	1	1	1833	30	157	17	15.665039	2511114
2	1	11	0	0	0	2525	63	85	3	-1	
3	1	11	1	0	0	2525	63	85	3	-1	
4	1	11	1	1	0	2525	63	85	3	-1	
5	1	11	1	1	1	2525	63	85	3	27.152466	MM
2	1	12	0	0	0	2599	69	86	4	-1	
3	1	12	1	0	0	2599	69	86	4	-1	
4	1	12	1	1	0	2599	69	86	4	-1	
5	1	12	1	1	1	2599	69	86	4	0.000000	|
2	1	13	0	0	0	2677	60	44	4	-1	
3	1	13	1	0	0	2677	60	44	4	-1	
4	1	13	1	1	0	2677	60	44	4	-1	
5	1	13	1	1	1	2677	60	44	4	42.983688	N|
2	1	14	0	0	0	2771	35	49	33	-1	
3	1	14	1	0	0	2771	35	49	33	-1	
4	1	14	1	1	0	2771	35	49	33	-1	
5	1	14	1	1	1	2771	35	49	33	66.209999	//
2	1	15	0	0	0	2874	42	92	20	-1	
3	1	15	1	0	0	2874	42	92	20	-1	
4	1	15	1	1	0	2874	42	92	20	-1	
5	1	15	1	1	1	2874	42	92	20	9.006012	人
5	1	15	1	1	2	2955	38	14	33	73.681229	【
2	1	16	0	0	0	273	34	99	45	-1	
3	1	16	1	0	0	273	34	99	45	-1	
4	1	16	1	1	0	273	34	99	45	-1	
5	1	16	1	1	1	273	40	16	8	0.000000	N
5	1	16	1	1	2	337	34	35	45	78.711082	多
2	1	17	0	0	0	1458	60	60	26	-1	
3	1	17	1	0	0	1458	60	60	26	-1	
4	1	17	1	1	0	1458	60	60	26	-1	
5	1	17	1	1	1	1458	60	60	26	89.711136	Ns
2	1	18	0	0	0	2289	69	96	21	-1	
3	1	18	1	0	0	2289	69	96	21	-1	
4	1	18	1	1	0	2289	69	96	21	-1	
5	1	18	1	1	1	2289	69	96	21	9.920113	/41S
2	1	19	0	0	0	2448	94	121	5	-1	
3	1	19	1	0	0	2448	94	121	5	-1	
4	1	19	1	1	0	2448	94	121	5	-1	
5	1	19	1	1	1	2448	95	66	4	7.041626	|
5	1	19	1	1	2	2523	80	46	28	7.041626	Me
2	1	20	0	0	0	2511	78	85	3	-1	
3	1	20	1	0	0	2511	78	85	3	-1	
4	1	20	1	1	0	2511	78	85	3	-1	
