level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3240	4455	-1	
2	1	1	0	0	0	117	21	30	24	-1	
3	1	1	1	0	0	117	21	30	24	-1	
4	1	1	1	1	0	117	21	30	24	-1	
5	1	1	1	1	1	117	21	30	24	14.735786	時
2	1	2	0	0	0	228	30	114	33	-1	
3	1	2	1	0	0	228	30	114	33	-1	
4	1	2	1	1	0	228	30	114	33	-1	
5	1	2	1	1	1	228	30	114	33	3.461472	生
2	1	3	0	0	0	345	0	144	85	-1	
3	1	3	1	0	0	345	0	144	85	-1	
4	1	3	1	1	0	345	0	144	85	-1	
5	1	3	1	1	1	345	0	36	75	0.000000	朮
5	1	3	1	1	2	388	0	101	85	16.580124	Ms
2	1	4	0	0	0	1946	0	15	40	-1	
3	1	4	1	0	0	1946	0	157	40	-1	
4	1	4	1	1	0	1946	0	15	40	-1	
5	1	4	1	1	1	1946	0	15	40	38.778362	『「
2	1	5	0	0	0	2193	27	93	48	-1	
3	1	5	1	0	0	2193	27	93	48	-1	
4	1	5	1	1	0	2193	27	93	48	-1	
5	1	5	1	1	1	2193	27	93	48	0.000000	1
2	1	6	0	0	0	2874	42	90	18	-1	
3	1	6	1	0	0	2874	42	90	18	-1	
4	1	6	1	1	0	2874	42	90	18	-1	
5	1	6	1	1	1	2870	38	12	32	29.460922	【
5	1	6	1	1	2	2874	42	90	18	0.000000	語
2	1	7	0	0	0	2978	5	166	32	-1	
3	1	7	1	0	0	2978	5	166	32	-1	
4	1	7	1	1	0	2978	5	166	32	-1	
5	1	7	1	1	1	2978	5	8	32	32.057465	【
5	1	7	1	1	2	3123	15	21	9	0.000000	本
2	1	8	0	0	0	6	48	135	45	-1	
3	1	8	1	0	0	6	48	135	45	-1	
4	1	8	1	1	0	6	48	135	45	-1	
5	1	8	1	1	1	6	48	135	45	69.423782	一
5	1	8	1	1	2	84	20	33	102	80.466003	一
5	1	8	1	1	3	116	20	27	102	61.394848	?
2	1	9	0	0	0	699	102	66	27	-1	
3	1	9	1	0	0	699	102	66	27	-1	
4	1	9	1	1	0	699	102	66	27	-1	
5	1	9	1	1	1	699	105	14	15	14.047462	人
5	1	9	1	1	2	732	102	12	12	5.126373	生
5	1	9	1	1	3	749	114	16	15	6.226845	二
2	1	10	0	0	0	1638	60	51	33	-1	
3	1	10	1	0	0	1638	60	51	33	-1	
4	1	10	1	1	0	1638	60	51	33	-1	
5	1	10	1	1	1	1638	60	21	15	47.498291	~
5	1	10	1	1	2	1662	63	27	30	0.000000	劑
2	1	11	0	0	0	582	141	81	9	-1	
3	1	11	1	0	0	582	141	81	9	-1	
4	1	11	1	1	0	582	141	81	9	-1	
5	1	11	1	1	1	582	141	81	9	19.501839	【
2	1	12	0	0	0	1347	132	39	15	-1	
3	1	12	1	0	0	1347	132	39	15	-1	
4	1	12	1	1	0	1347	132	39	15	-1	
5	1	12	1	1	1	1347	132	12	15	38.183537	還
5	1	12	1	1	2	1371	141	15	6	37.329346	二
2	1	13	0	0	0	1737	114	54	48	-1	
3	1	13	1	0	0	1737	114	54	48	-1	
4	1	13	1	1	0	1737	114	54	48	-1	
5	1	13	1	1	1	1737	114	54	48	7.748444	由
2	1	14	0	0	0	2277	138	81	27	-1	
3	1	14	1	0	0	2277	138	81	27	-1	
4	1	14	1	1	0	2277	138	81	27	-1	
5	1	14	1	1	1	2277	138	81	27	0.000000	ME
2	1	15	0	0	0	2811	66	144	75	-1	
3	1	15	1	0	0	2811	66	144	75	-1	
4	1	15	1	1	0	2811	66	144	75	-1	
5	1	15	1	1	1	2811	66	144	75	60.982204	MA
2	1	16	0	0	0	3096	174	78	15	-1	
3	1	16	1	0	0	3096	174	78	15	-1	
4	1	16	1	1	0	3096	174	78	15	-1	
5	1	16	1	1	1	3096	174	6	9	0.000000	[
5	1	16	1	1	2	3108	177	66	12	0.000000	凍
2	1	17	0	0	0	387	144	87	60	-1	
3	1	17	1	0	0	387	144	87	60	-1	
4	1	17	1	1	0	387	144	87	60	-1	
5	1	17	1	1	1	387	150	24	42	0.000000	人
5	1	17	1	1	2	434	144	40	60	2.533249	信
2	1	18	0	0	0	807	186	60	30	-1	
3	1	18	1	0	0	807	186	60	30	-1	
4	1	18	1	1	0	807	186	60	30	-1	
5	1	18	1	1	1	807	186	60	30	0.000000	」
2	1	19	0	0	0	885	210	66	39	-1	
3	1	19	1	0	0	885	210	66	39	-1	
4	1	19	1	1	0	885	210	66	39	-1	
