level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3240	4455	-1	
2	1	1	0	0	0	117	21	30	24	-1	
3	1	1	1	0	0	117	21	30	24	-1	
4	1	1	1	1	0	117	21	30	24	-1	
5	1	1	1	1	1	117	21	30	24	0.000000	吉
2	1	2	0	0	0	228	30	114	33	-1	
3	1	2	1	0	0	228	30	114	33	-1	
4	1	2	1	1	0	228	30	114	33	-1	
5	1	2	1	1	1	228	30	114	33	26.906158	frL
2	1	3	0	0	0	345	0	144	75	-1	
3	1	3	1	0	0	345	0	144	75	-1	
4	1	3	1	1	0	345	0	144	75	-1	
5	1	3	1	1	1	345	0	36	75	0.000000	縣
5	1	3	1	1	2	411	0	37	69	41.044868	多
5	1	3	1	1	3	471	45	18	15	0.000000	,
2	1	4	0	0	0	1950	0	153	36	-1	
3	1	4	1	0	0	1950	0	153	36	-1	
4	1	4	1	1	0	1950	0	153	36	-1	
5	1	4	1	1	1	1950	15	18	21	0.000000	只
5	1	4	1	1	2	2002	0	20	27	27.391174	7
5	1	4	1	1	3	2079	9	24	21	39.664635	回
2	1	5	0	0	0	2193	27	93	48	-1	
3	1	5	1	0	0	2193	27	93	48	-1	
4	1	5	1	1	0	2193	27	93	48	-1	
5	1	5	1	1	1	2193	27	93	48	0.000000	0
2	1	6	0	0	0	2874	42	90	18	-1	
3	1	6	1	0	0	2874	42	90	18	-1	
4	1	6	1	1	0	2874	42	90	18	-1	
5	1	6	1	1	1	2874	45	15	15	68.137817	-
5	1	6	1	1	2	2934	42	30	18	13.103470	和
5	1	6	1	1	3	2955	38	11	32	29.151871	」
2	1	7	0	0	0	2982	5	162	32	-1	
3	1	7	1	0	0	2982	5	162	32	-1	
4	1	7	1	1	0	2982	5	162	32	-1	
5	1	7	1	1	1	2982	12	15	15	60.539429	-
5	1	7	1	1	2	3010	5	16	32	31.213799	和
5	1	7	1	1	3	3026	5	27	32	30.683945	和
5	1	7	1	1	4	3054	9	21	9	26.746162	和
5	1	7	1	1	5	3123	15	21	9	69.184120	自
2	1	8	0	0	0	6	48	135	45	-1	
3	1	8	1	0	0	6	48	135	45	-1	
4	1	8	1	1	0	6	48	135	45	-1	
5	1	8	1	1	1	6	48	135	45	21.352631	lu
2	1	9	0	0	0	699	102	66	27	-1	
3	1	9	1	0	0	699	102	66	27	-1	
4	1	9	1	1	0	699	102	66	27	-1	
5	1	9	1	1	1	699	102	66	27	32.024734	4
2	1	10	0	0	0	1638	60	51	33	-1	
3	1	10	1	0	0	1638	60	51	33	-1	
4	1	10	1	1	0	1638	60	51	33	-1	
5	1	10	1	1	1	1638	60	18	15	81.662079	:
5	1	10	1	1	2	1662	63	27	30	9.158783	交
2	1	11	0	0	0	582	141	81	9	-1	
3	1	11	1	0	0	582	141	81	9	-1	
4	1	11	1	1	0	582	141	81	9	-1	
5	1	11	1	1	1	582	141	81	9	20.305099	man
2	1	12	0	0	0	1347	132	39	15	-1	
3	1	12	1	0	0	1347	132	39	15	-1	
4	1	12	1	1	0	1347	132	39	15	-1	
5	1	12	1	1	1	1347	132	39	15	0.000000	Eh
2	1	13	0	0	0	1737	114	54	48	-1	
3	1	13	1	0	0	1737	114	54	48	-1	
4	1	13	1	1	0	1737	114	54	48	-1	
5	1	13	1	1	1	1737	114	54	48	46.394249	pe
2	1	14	0	0	0	2277	138	81	27	-1	
3	1	14	1	0	0	2277	138	81	27	-1	
4	1	14	1	1	0	2277	138	81	27	-1	
5	1	14	1	1	1	2277	138	27	18	0.000000	箇
5	1	14	1	1	2	2309	134	34	44	0.000000	問
5	1	14	1	1	3	2342	141	16	24	0.000000	鄙
2	1	15	0	0	0	2811	66	144	75	-1	
3	1	15	1	0	0	2811	66	144	75	-1	
4	1	15	1	1	0	2811	66	144	75	-1	
5	1	15	1	1	1	2811	66	144	75	44.665840	/-
2	1	16	0	0	0	3096	174	78	15	-1	
3	1	16	1	0	0	3096	174	78	15	-1	
4	1	16	1	1	0	3096	174	78	15	-1	
5	1	16	1	1	1	3096	174	78	15	37.067875	mr
2	1	17	0	0	0	387	144	87	60	-1	
3	1	17	1	0	0	387	144	87	60	-1	
4	1	17	1	1	0	387	144	87	60	-1	
5	1	17	1	1	1	387	144	87	60	63.137077	人
2	1	18	0	0	0	807	186	60	30	-1	
3	1	18	1	0	0	807	186	60	30	-1	
4	1	18	1	1	0	807	186	60	30	-1	
5	1	18	1	1	1	807	186	60	30	28.033173	畫
2	1	19	0	0	0	885	210	66	39	-1	
