level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3240	4455	-1	
2	1	1	0	0	0	2834	3	43	12	-1	
3	1	1	1	0	0	2834	3	43	12	-1	
4	1	1	1	1	0	2834	3	43	12	-1	
5	1	1	1	1	1	2834	3	43	12	0.000000	2
2	1	2	0	0	0	409	3	30	36	-1	
3	1	2	1	0	0	409	3	30	36	-1	
4	1	2	1	1	0	409	3	30	36	-1	
5	1	2	1	1	1	409	3	30	36	67.773331	AS
2	1	3	0	0	0	484	19	59	12	-1	
3	1	3	1	0	0	484	19	59	12	-1	
4	1	3	1	1	0	484	19	59	12	-1	
5	1	3	1	1	1	484	19	59	12	38.227100	>
2	1	4	0	0	0	1613	0	26	17	-1	
3	1	4	1	0	0	1613	0	26	17	-1	
4	1	4	1	1	0	1613	0	26	17	-1	
5	1	4	1	1	1	1613	0	26	17	0.000000	《
2	1	5	0	0	0	1827	0	19	32	-1	
3	1	5	1	0	0	1827	0	19	32	-1	
4	1	5	1	1	0	1827	0	19	32	-1	
5	1	5	1	1	1	1827	0	19	32	1.203934	思
2	1	6	0	0	0	2691	9	50	10	-1	
3	1	6	1	0	0	2691	9	50	10	-1	
4	1	6	1	1	0	2691	9	50	10	-1	
5	1	6	1	1	1	2691	9	50	10	4.355148	人
2	1	7	0	0	0	141	34	171	23	-1	
3	1	7	1	0	0	141	34	171	23	-1	
4	1	7	1	1	0	141	34	171	23	-1	
5	1	7	1	1	1	141	34	171	23	0.000000	We
5	1	7	1	1	2	290	30	26	34	0.000000	洗
2	1	8	0	0	0	767	0	126	43	-1	
3	1	8	1	0	0	767	0	126	43	-1	
4	1	8	1	1	0	767	0	126	43	-1	
5	1	8	1	1	1	767	0	126	43	0.000000	0
2	1	9	0	0	0	1549	47	42	16	-1	
3	1	9	1	0	0	1549	47	42	16	-1	
4	1	9	1	1	0	1549	47	42	16	-1	
5	1	9	1	1	1	1549	52	4	11	0.000000	【
2	1	10	0	0	0	2124	22	20	25	-1	
3	1	10	1	0	0	2124	22	20	25	-1	
4	1	10	1	1	0	2124	22	20	25	-1	
5	1	10	1	1	1	2124	22	20	25	0.000000	戰
2	1	11	0	0	0	2421	9	74	32	-1	
3	1	11	1	0	0	2421	9	74	32	-1	
4	1	11	1	1	0	2421	9	74	32	-1	
5	1	11	1	1	1	2421	9	74	32	3.568863	@-
2	1	12	0	0	0	2874	43	91	19	-1	
3	1	12	1	0	0	2874	43	91	19	-1	
4	1	12	1	1	0	2874	43	91	19	-1	
5	1	12	1	1	1	2874	43	28	17	13.759796	也
5	1	12	1	1	2	2932	43	33	19	10.406128	4
2	1	13	0	0	0	3007	45	17	3	-1	
3	1	13	1	0	0	3007	45	17	3	-1	
4	1	13	1	1	0	3007	45	17	3	-1	
5	1	13	1	1	1	3007	45	17	3	88.084259	一
2	1	14	0	0	0	8	50	98	14	-1	
3	1	14	1	0	0	8	50	98	14	-1	
4	1	14	1	1	0	8	50	98	14	-1	
5	1	14	1	1	1	8	50	98	14	68.699631	一
5	1	14	1	1	2	43	38	23	30	60.448830	一
5	1	14	1	1	3	65	38	22	30	86.531784	二
5	1	14	1	1	4	86	38	23	30	48.318825	二
2	1	15	0	0	0	1797	20	192	57	-1	
3	1	15	1	0	0	1797	20	192	57	-1	
4	1	15	1	1	0	1797	20	192	57	-1	
5	1	15	1	1	1	1797	35	7	42	0.000000	i
5	1	15	1	1	2	1834	34	30	11	64.053391	ws
5	1	15	1	1	3	1871	34	17	6	52.686901	一
5	1	15	1	1	4	1900	33	13	5	85.358521	二
5	1	15	1	1	5	1927	30	30	7	18.286705	一
5	1	15	1	1	6	1956	20	23	29	60.222084	一
5	1	15	1	1	7	1978	32	11	6	43.099228	一
2	1	16	0	0	0	2753	35	66	33	-1	
3	1	16	1	0	0	2753	35	66	33	-1	
4	1	16	1	1	0	2753	35	66	33	-1	
5	1	16	1	1	1	2753	38	15	11	60.924427	人
5	1	16	1	1	2	2772	35	47	33	30.434402	~N
2	1	17	0	0	0	2820	68	94	8	-1	
3	1	17	1	0	0	2820	68	94	8	-1	
4	1	17	1	1	0	2820	68	94	8	-1	
5	1	17	1	1	1	2820	72	43	4	20.815277	二
5	1	17	1	1	2	2873	68	15	5	81.633766	一
5	1	17	1	1	3	2901	68	13	6	21.095779	一
2	1	18	0	0	0	393	78	29	24	-1	
3	1	18	1	0	0	393	78	29	24	-1	
4	1	18	1	1	0	393	78	29	24	-1	
5	1	18	1	1	1	393	78	29	24	0.000000	說
2	1	19	0	0	0	423	29	24	28	-1	
3	1	19	1	0	0	423	29	88	59	-1	
4	1	19	1	1	0	423	29	24	28	-1	
5	1	19	1	1	1	423	29	24	28	0.000000	5)
2	1	20	0	0	0	546	49	24	44	-1	
3	1	20	1	0	0	546	49	24	44	-1	
4	1	20	1	1	0	546	49	24	44	-1	
5	1	20	1	1	1	546	49	24	44	0.000000	W
2	1	21	0	0	0	1273	64	103	44	-1	
3	1	21	1	0	0	1273	64	103	44	-1	
4	1	21	1	1	0	1273	64	103	44	-1	
5	1	21	1	1	1	1273	66	39	42	0.000000	恕
5	1	21	1	1	2	1313	60	30	65	17.666046	只
5	1	21	1	1	3	1335	64	41	43	0.000000	二
2	1	22	0	0	0	1632	39	66	63	-1	
3	1	22	1	0	0	1632	39	66	63	-1	
4	1	22	1	1	0	1632	39	66	63	-1	
5	1	22	1	1	1	1632	39	66	63	61.396000	2
2	1	23	0	0	0	1483	121	43	13	-1	
3	1	23	1	0	0	1483	121	43	13	-1	
4	1	23	1	1	0	1483	121	43	13	-1	
5	1	23	1	1	1	1483	121	43	13	12.880447	乙
2	1	24	0	0	0	1673	83	58	30	-1	
3	1	24	1	0	0	1673	83	58	30	-1	
4	1	24	1	1	0	1673	83	58	30	-1	
5	1	24	1	1	1	1673	83	58	30	0.000000	人
2	1	25	0	0	0	2207	114	44	4	-1	
3	1	25	1	0	0	2207	114	44	4	-1	
4	1	25	1	1	0	2207	114	44	4	-1	
5	1	25	1	1	1	2207	114	27	4	49.575294	一
5	1	25	1	1	2	2239	114	12	3	86.922707	一
2	1	26	0	0	0	3042	102	54	11	-1	
3	1	26	1	0	0	3042	102	54	11	-1	
4	1	26	1	1	0	3042	102	54	11	-1	
5	1	26	1	1	1	3042	102	54	11	16.644829	ws
5	1	26	1	1	2	3087	91	13	28	0.000000	憲
2	1	27	0	0	0	371	117	37	22	-1	
3	1	27	1	0	0	371	117	37	22	-1	
4	1	27	1	1	0	371	117	37	22	-1	
5	1	27	1	1	1	371	117	37	22	40.026031	MA
2	1	28	0	0	0	546	137	120	17	-1	
3	1	28	1	0	0	546	137	120	17	-1	
4	1	28	1	1	0	546	137	120	17	-1	
5	1	28	1	1	1	546	137	120	17	0.000000	人
2	1	29	0	0	0	674	103	93	38	-1	
3	1	29	1	0	0	674	103	93	38	-1	
4	1	29	1	1	0	674	103	93	38	-1	
5	1	29	1	1	1	674	103	93	38	7.497093	AA
2	1	30	0	0	0	1327	128	82	12	-1	
3	1	30	1	0	0	1327	128	82	12	-1	
4	1	30	1	1	0	1327	128	82	12	-1	
5	1	30	1	1	1	1327	133	17	7	93.824280	一
5	1	30	1	1	2	1352	128	31	10	90.779327	~
5	1	30	1	1	3	1391	129	18	7	32.244087	一
2	1	31	0	0	0	1716	120	44	18	-1	
3	1	31	1	0	0	1716	120	44	18	-1	
4	1	31	1	1	0	1716	120	44	18	-1	
5	1	31	1	1	1	1716	120	44	18	0.000000	-13
2	1	32	0	0	0	1726	145	29	11	-1	
3	1	32	1	0	0	1726	145	29	11	-1	
4	1	32	1	1	0	1726	145	29	11	-1	
5	1	32	1	1	1	1726	145	29	11	14.303169	“兩
5	1	32	1	1	2	1748	138	11	28	76.103378	/
2	1	33	0	0	0	1983	98	55	56	-1	
3	1	33	1	0	0	1983	98	55	56	-1	
4	1	33	1	1	0	1983	98	55	56	-1	
5	1	33	1	1	1	1983	98	55	56	0.000000	卻
2	1	34	0	0	0	3092	119	47	22	-1	
3	1	34	1	0	0	3092	119	47	22	-1	
4	1	34	1	1	0	3092	119	47	22	-1	
5	1	34	1	1	1	3092	119	47	22	0.000000	說
2	1	35	0	0	0	385	140	31	29	-1	
3	1	35	1	0	0	385	140	31	29	-1	
4	1	35	1	1	0	385	140	31	29	-1	
5	1	35	1	1	1	385	140	31	29	27.407875	AA
2	1	36	0	0	0	425	159	28	18	-1	
3	1	36	1	0	0	425	159	28	18	-1	
4	1	36	1	1	0	425	159	28	18	-1	
5	1	36	1	1	1	425	159	28	18	42.910419	S
2	1	37	0	0	0	2044	115	118	48	-1	
3	1	37	1	0	0	2044	115	118	48	-1	
4	1	37	1	1	0	2044	115	118	48	-1	
5	1	37	1	1	1	2044	139	27	14	3.829483	全
5	1	37	1	1	2	2085	115	46	48	58.780350	一
5	1	37	1	1	3	2131	111	35	56	35.197647	八
2	1	38	0	0	0	2223	132	203	44	-1	
3	1	38	1	0	0	2223	132	203	44	-1	
4	1	38	1	1	0	2223	132	203	44	-1	
5	1	38	1	1	1	2223	132	19	44	0.000000	當
5	1	38	1	1	2	2276	137	150	33	0.000000	站崗
5	1	38	1	1	3	2345	124	38	58	15.020103	不
5	1	38	1	1	4	2382	124	30	58	0.000000	一
5	1	38	1	1	5	2411	124	19	58	92.329666	一
2	1	39	0	0	0	3025	162	40	8	-1	
3	1	39	1	0	0	3025	162	40	8	-1	
4	1	39	1	1	0	3025	162	40	8	-1	
5	1	39	1	1	1	3021	151	14	28	0.000000	隊
5	1	39	1	1	2	3025	162	40	8	80.655075	一
2	1	40	0	0	0	3059	144	49	28	-1	
3	1	40	1	0	0	3059	144	49	28	-1	
4	1	40	1	1	0	3059	144	49	28	-1	
5	1	40	1	1	1	3059	144	49	28	0.000000	1
2	1	41	0	0	0	3121	161	36	3	-1	
3	1	41	1	0	0	3121	161	36	3	-1	
4	1	41	1	1	0	3121	161	36	3	-1	
5	1	41	1	1	1	3121	161	36	3	18.813866	es
2	1	42	0	0	0	3158	140	82	29	-1	
3	1	42	1	0	0	3158	140	82	29	-1	
4	1	42	1	1	0	3158	140	82	29	-1	
5	1	42	1	1	1	3158	140	82	29	0.000000	~
2	1	43	0	0	0	398	173	63	22	-1	
3	1	43	1	0	0	398	173	63	22	-1	
4	1	43	1	1	0	398	173	63	22	-1	
5	1	43	1	1	1	398	173	63	22	24.403053	AS
2	1	44	0	0	0	496	183	28	20	-1	
3	1	44	1	0	0	496	183	28	20	-1	
4	1	44	1	1	0	496	183	28	20	-1	
5	1	44	1	1	1	496	183	28	20	42.430996	SA
2	1	45	0	0	0	1125	141	103	47	-1	
3	1	45	1	0	0	1125	141	103	47	-1	
4	1	45	1	1	0	1125	141	103	47	-1	
5	1	45	1	1	1	1125	141	103	47	4.107780	留
5	1	45	1	1	2	1208	137	23	70	47.456276	-
2	1	46	0	0	0	2589	165	109	19	-1	
3	1	46	1	0	0	2589	165	109	19	-1	
4	1	46	1	1	0	2589	165	109	19	-1	
5	1	46	1	1	1	2589	165	109	19	0.000000	ee
2	1	47	0	0	0	3162	180	78	15	-1	
3	1	47	1	0	0	3162	180	78	15	-1	
4	1	47	1	1	0	3162	180	78	15	-1	
5	1	47	1	1	1	3162	180	78	15	33.417198	ww
2	1	48	0	0	0	511	204	18	9	-1	
3	1	48	1	0	0	511	204	18	9	-1	
4	1	48	1	1	0	511	204	18	9	-1	
5	1	48	1	1	1	511	204	18	9	10.157127	為
2	1	49	0	0	0	807	183	61	33	-1	
3	1	49	1	0	0	807	183	61	33	-1	
