level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3240	4455	-1	
2	1	1	0	0	0	2834	3	43	12	-1	
3	1	1	1	0	0	2834	3	43	12	-1	
4	1	1	1	1	0	2834	3	43	12	-1	
5	1	1	1	1	1	2834	3	43	12	2.548615	tt
2	1	2	0	0	0	409	3	30	36	-1	
3	1	2	1	0	0	409	3	30	36	-1	
4	1	2	1	1	0	409	3	30	36	-1	
5	1	2	1	1	1	409	3	30	36	11.203041	才
2	1	3	0	0	0	484	19	59	12	-1	
3	1	3	1	0	0	484	19	59	12	-1	
4	1	3	1	1	0	484	19	59	12	-1	
5	1	3	1	1	1	484	19	59	12	80.982735	1
2	1	4	0	0	0	1613	0	26	17	-1	
3	1	4	1	0	0	1613	0	26	17	-1	
4	1	4	1	1	0	1613	0	26	17	-1	
5	1	4	1	1	1	1613	0	12	17	91.675095	《
5	1	4	1	1	2	1629	9	10	4	45.019791	上
2	1	5	0	0	0	1827	0	19	32	-1	
3	1	5	1	0	0	1827	0	19	32	-1	
4	1	5	1	1	0	1827	0	19	32	-1	
5	1	5	1	1	1	1827	0	19	32	58.830185	二
2	1	6	0	0	0	2691	9	50	10	-1	
3	1	6	1	0	0	2691	9	50	10	-1	
4	1	6	1	1	0	2691	9	50	10	-1	
5	1	6	1	1	1	2691	9	50	10	79.173500	fi
2	1	7	0	0	0	141	34	171	23	-1	
3	1	7	1	0	0	141	34	171	23	-1	
4	1	7	1	1	0	141	34	171	23	-1	
5	1	7	1	1	1	141	34	171	23	9.978630	IIIMNNMW
2	1	8	0	0	0	767	0	126	43	-1	
3	1	8	1	0	0	767	0	126	43	-1	
4	1	8	1	1	0	767	0	126	43	-1	
5	1	8	1	1	1	767	4	23	26	18.908577	生
5	1	8	1	1	2	826	0	67	43	0.000000	岳
2	1	9	0	0	0	1549	47	42	16	-1	
3	1	9	1	0	0	1549	47	42	16	-1	
4	1	9	1	1	0	1549	47	42	16	-1	
5	1	9	1	1	1	1549	47	42	16	52.697067	|
2	1	10	0	0	0	2124	22	20	25	-1	
3	1	10	1	0	0	2124	22	20	25	-1	
4	1	10	1	1	0	2124	22	20	25	-1	
5	1	10	1	1	1	2124	22	20	25	0.000000	」-
2	1	11	0	0	0	2421	9	74	32	-1	
3	1	11	1	0	0	2421	9	74	32	-1	
4	1	11	1	1	0	2421	9	74	32	-1	
5	1	11	1	1	1	2421	9	74	32	0.000000	魚
5	1	11	1	1	2	2473	5	27	45	46.591766	N
2	1	12	0	0	0	2874	43	91	19	-1	
3	1	12	1	0	0	2874	43	91	19	-1	
4	1	12	1	1	0	2874	43	91	19	-1	
5	1	12	1	1	1	2943	39	27	34	0.000000	生
2	1	13	0	0	0	3007	45	17	3	-1	
3	1	13	1	0	0	3007	45	17	3	-1	
4	1	13	1	1	0	3007	45	17	3	-1	
5	1	13	1	1	1	3007	45	17	3	75.021622	|
2	1	14	0	0	0	8	50	98	14	-1	
3	1	14	1	0	0	8	50	98	14	-1	
4	1	14	1	1	0	8	50	98	14	-1	
5	1	14	1	1	1	8	50	98	14	15.461693	hi1hJ
2	1	15	0	0	0	1797	30	192	47	-1	
3	1	15	1	0	0	1797	30	192	47	-1	
4	1	15	1	1	0	1797	30	192	47	-1	
5	1	15	1	1	1	1797	35	7	42	0.000000	一
5	1	15	1	1	2	1834	30	155	15	25.933510	fiiliy
2	1	16	0	0	0	2753	35	66	33	-1	
3	1	16	1	0	0	2753	35	66	33	-1	
4	1	16	1	1	0	2753	35	66	33	-1	
5	1	16	1	1	1	2753	38	34	23	59.489212	//
5	1	16	1	1	2	2793	35	26	33	41.031990	儿
2	1	17	0	0	0	2820	68	94	8	-1	
3	1	17	1	0	0	2820	68	94	8	-1	
4	1	17	1	1	0	2820	68	94	8	-1	
5	1	17	1	1	1	2820	68	94	8	49.767227	7
2	1	18	0	0	0	393	78	29	24	-1	
3	1	18	1	0	0	393	78	29	24	-1	
4	1	18	1	1	0	393	78	29	24	-1	
5	1	18	1	1	1	393	78	29	24	0.000000	彩
2	1	19	0	0	0	423	39	20	11	-1	
3	1	19	1	0	0	423	39	88	49	-1	
4	1	19	1	1	0	423	39	20	11	-1	
5	1	19	1	1	1	423	39	20	11	21.035782	多
2	1	20	0	0	0	546	49	24	44	-1	
3	1	20	1	0	0	546	49	24	44	-1	
4	1	20	1	1	0	546	49	24	44	-1	
5	1	20	1	1	1	546	49	24	44	75.944992	>
2	1	21	0	0	0	1273	64	103	44	-1	
3	1	21	1	0	0	1273	64	103	44	-1	
4	1	21	1	1	0	1273	64	103	44	-1	
5	1	21	1	1	1	1273	64	103	44	22.150108	失色
2	1	22	0	0	0	1632	39	66	63	-1	
3	1	22	1	0	0	1632	39	66	63	-1	
4	1	22	1	1	0	1632	39	66	63	-1	
5	1	22	1	1	1	1632	39	66	63	37.885052	人
2	1	23	0	0	0	1483	121	43	13	-1	
3	1	23	1	0	0	1483	121	43	13	-1	
4	1	23	1	1	0	1483	121	43	13	-1	
5	1	23	1	1	1	1483	121	43	13	16.432846	ft
2	1	24	0	0	0	1673	83	58	30	-1	
3	1	24	1	0	0	1673	83	58	30	-1	
4	1	24	1	1	0	1673	83	58	30	-1	
5	1	24	1	1	1	1673	83	58	30	68.790085	《:
2	1	25	0	0	0	2207	114	44	4	-1	
3	1	25	1	0	0	2207	114	44	4	-1	
4	1	25	1	1	0	2207	114	44	4	-1	
5	1	25	1	1	1	2207	114	44	4	80.643738	MM
2	1	26	0	0	0	3042	102	54	11	-1	
3	1	26	1	0	0	3042	102	54	11	-1	
4	1	26	1	1	0	3042	102	54	11	-1	
5	1	26	1	1	1	3042	102	54	11	72.223053	7
2	1	27	0	0	0	371	117	37	22	-1	
3	1	27	1	0	0	371	117	37	22	-1	
4	1	27	1	1	0	371	117	37	22	-1	
5	1	27	1	1	1	371	117	37	22	55.874626	所
2	1	28	0	0	0	546	137	120	17	-1	
3	1	28	1	0	0	546	137	120	17	-1	
4	1	28	1	1	0	546	137	120	17	-1	
5	1	28	1	1	1	546	137	120	17	57.132805	2kitt
2	1	29	0	0	0	674	103	93	38	-1	
3	1	29	1	0	0	674	103	93	38	-1	
4	1	29	1	1	0	674	103	93	38	-1	
5	1	29	1	1	1	674	103	93	38	21.037949	7
2	1	30	0	0	0	1327	128	82	12	-1	
3	1	30	1	0	0	1327	128	82	12	-1	
4	1	30	1	1	0	1327	128	82	12	-1	
5	1	30	1	1	1	1327	128	82	12	30.860374	ll
2	1	31	0	0	0	1716	120	44	18	-1	
3	1	31	1	0	0	1716	120	44	18	-1	
4	1	31	1	1	0	1716	120	44	18	-1	
5	1	31	1	1	1	1716	130	6	6	73.011719	入
5	1	31	1	1	2	1744	120	16	18	29.024261	下
2	1	32	0	0	0	1726	145	29	11	-1	
3	1	32	1	0	0	1726	145	29	11	-1	
4	1	32	1	1	0	1726	145	29	11	-1	
5	1	32	1	1	1	1726	145	29	11	0.000000	aa
2	1	33	0	0	0	1983	98	55	56	-1	
3	1	33	1	0	0	1983	98	55	56	-1	
4	1	33	1	1	0	1983	98	55	56	-1	
5	1	33	1	1	1	1983	98	55	56	0.000000	久
2	1	34	0	0	0	3092	119	47	22	-1	
3	1	34	1	0	0	3092	119	47	22	-1	
4	1	34	1	1	0	3092	119	47	22	-1	
5	1	34	1	1	1	3092	119	47	22	42.804451	=
2	1	35	0	0	0	385	140	31	29	-1	
3	1	35	1	0	0	385	140	31	29	-1	
4	1	35	1	1	0	385	140	31	29	-1	
5	1	35	1	1	1	385	140	31	29	0.000000	才
2	1	36	0	0	0	425	159	28	18	-1	
3	1	36	1	0	0	425	159	28	18	-1	
4	1	36	1	1	0	425	159	28	18	-1	
5	1	36	1	1	1	425	159	28	18	7.893143	((:
2	1	37	0	0	0	2044	115	118	48	-1	
3	1	37	1	0	0	2044	115	118	48	-1	
4	1	37	1	1	0	2044	115	118	48	-1	
5	1	37	1	1	1	2044	115	118	48	17.863625	MM
2	1	38	0	0	0	2223	132	203	44	-1	
3	1	38	1	0	0	2223	132	203	44	-1	
4	1	38	1	1	0	2223	132	203	44	-1	
5	1	38	1	1	1	2223	132	16	44	57.834991	/
5	1	38	1	1	2	2238	124	35	58	58.227615	和
5	1	38	1	1	3	2276	137	29	31	14.065620	時
5	1	38	1	1	4	2334	140	26	30	65.175079	三
5	1	38	1	1	5	2400	144	26	5	13.379776	生
2	1	39	0	0	0	3025	162	40	8	-1	
3	1	39	1	0	0	3025	162	40	8	-1	
4	1	39	1	1	0	3025	162	40	8	-1	
5	1	39	1	1	1	3025	162	40	8	17.675667	|
2	1	40	0	0	0	3121	161	36	3	-1	
3	1	40	1	0	0	3121	161	36	3	-1	
4	1	40	1	1	0	3121	161	36	3	-1	
5	1	40	1	1	1	3121	161	36	3	70.099243	|
2	1	41	0	0	0	3158	140	82	29	-1	
3	1	41	1	0	0	3158	140	82	29	-1	
4	1	41	1	1	0	3158	140	82	29	-1	
5	1	41	1	1	1	3158	140	82	29	71.377533	3
2	1	42	0	0	0	398	173	63	22	-1	
3	1	42	1	0	0	398	173	63	22	-1	
4	1	42	1	1	0	398	173	63	22	-1	
5	1	42	1	1	1	398	173	63	22	10.276871	>/V
2	1	43	0	0	0	496	183	28	20	-1	
3	1	43	1	0	0	496	183	28	20	-1	
4	1	43	1	1	0	496	183	28	20	-1	
5	1	43	1	1	1	496	183	28	20	0.000000	稍
5	1	43	1	1	2	516	179	12	33	45.968994	/
2	1	44	0	0	0	1125	141	103	47	-1	
3	1	44	1	0	0	1125	141	103	47	-1	
4	1	44	1	1	0	1125	141	103	47	-1	
5	1	44	1	1	1	1125	141	103	47	0.000000	紀
5	1	44	1	1	2	1185	137	47	70	0.000000	(
2	1	45	0	0	0	2589	165	109	19	-1	
3	1	45	1	0	0	2589	165	109	19	-1	
4	1	45	1	1	0	2589	165	109	19	-1	
5	1	45	1	1	1	2589	165	109	19	0.000000	上
5	1	45	1	1	2	2650	159	3	29	65.136307	~
5	1	45	1	1	3	2652	165	46	19	58.343956	人
2	1	46	0	0	0	3162	180	78	15	-1	
3	1	46	1	0	0	3162	180	78	15	-1	
4	1	46	1	1	0	3162	180	78	15	-1	
5	1	46	1	1	1	3162	180	78	15	26.870735	Tt
2	1	47	0	0	0	511	204	18	9	-1	
3	1	47	1	0	0	511	204	18	9	-1	
4	1	47	1	1	0	511	204	18	9	-1	
5	1	47	1	1	1	511	204	18	9	0.000000	/:
2	1	48	0	0	0	807	183	61	33	-1	
3	1	48	1	0	0	807	183	61	33	-1	
4	1	48	1	1	0	807	183	61	33	-1	
5	1	48	1	1	1	807	183	14	25	62.408417	>
5	1	48	1	1	2	840	184	28	32	41.293900	也
2	1	49	0	0	0	966	192	207	37	-1	
3	1	49	1	0	0	966	192	207	37	-1	
4	1	49	1	1	0	966	192	207	37	-1	
5	1	49	1	1	1	966	194	13	24	70.230103	~
5	1	49	1	1	2	992	216	46	9	3.832199	條
5	1	49	1	1	3	1052	192	121	37	0.000000	WNNNNN
2	1	50	0	0	0	1288	176	110	39	-1	
3	1	50	1	0	0	1288	176	110	39	-1	
4	1	50	1	1	0	1288	176	110	39	-1	
5	1	50	1	1	1	1288	176	110	39	6.357079	和
2	1	51	0	0	0	1577	222	99	6	-1	
3	1	51	1	0	0	1577	222	99	6	-1	
4	1	51	1	1	0	1577	222	99	6	-1	
5	1	51	1	1	1	1577	222	99	6	27.070763	|Il||
2	1	52	0	0	0	2459	195	53	20	-1	
3	1	52	1	0	0	2459	195	53	20	-1	
