ocr_id,text,ocr_text_raw_order,reading_rule,alternative_texts,confidence,quality,orientation,category,source_stage,pixel_x1,pixel_y1,pixel_x2,pixel_y2
1937_rapidocr_0041,家塘,塘家,reverse_suffix_first,酒家塘,0.650831,0.780831,horizontal,ocr_水系,rapidocr_gray3x_sharp_tile,1037.33,62.0,1079.0,81.67
1937_rapidocr_0032,三授营,营授三,reverse_suffix_first,,0.654865,0.794865,horizontal,ocr_城防官署,rapidocr_adaptive3x_tile,656.67,89.33,707.33,115.67
1937_rapidocr_0062,火葉局,局葉火,reverse_suffix_first,火菜局,0.580218,0.720218,horizontal,ocr_城防官署,rapidocr_gray3x_sharp_tile,488.33,99.0,535.0,116.0
1937_rapidocr_0085,武林,武林,as_detected,,0.644229,0.664229,vertical,ocr_文字,rapidocr_gray3x_sharp_full,183.33,140.0,196.67,164.67
1937_rapidocr_0019,工兵营,工兵营,as_detected,工兵管,0.688039,0.828039,vertical,ocr_城防官署,rapidocr_original_tile,668.0,154.0,686.0,203.0
1937_rapidocr_0073,桶水天,桶水天,as_detected,橘水天 | 弱水天,0.628688,0.688688,horizontal,ocr_文字,rapidocr_gray3x_sharp_tile,388.0,180.33,428.0,193.0
1937_rapidocr_0043,福高东梅,福高东梅,as_detected,,0.737692,0.777692,horizontal,ocr_文字,rapidocr_gray3x_sharp_full,565.0,196.67,608.67,210.33
1937_rapidocr_0065,林武,林武,as_detected,武林門,0.658793,0.708793,horizontal,ocr_文字,rapidocr_gray3x_sharp_tile,280.0,204.33,313.67,226.67
1937_rapidocr_0038,奥福寺巷,巷寺福奥,reverse_suffix_first,地興福寺巷 | 梦寺福,0.634854,0.784854,horizontal,ocr_街巷道路,rapidocr_gray3x_sharp_tile,348.0,209.33,447.67,237.33
1937_rapidocr_0036,道街,街道,reverse_suffix_first,,0.656975,0.786975,horizontal,ocr_街巷道路,rapidocr_gray3x_sharp_tile,246.33,210.0,271.0,226.0
1937_rapidocr_0034,大营,营大,reverse_suffix_first,盘营大 | 盈营大,0.661381,0.791381,horizontal,ocr_城防官署,rapidocr_adaptive3x_tile,624.67,215.0,672.33,231.33
1937_rapidocr_0012,大友巷,大友巷,as_detected,大打友巷 | 大行友巷,0.720605,0.860605,vertical,ocr_街巷道路,rapidocr_gray3x_sharp_tile,292.0,219.0,319.33,286.67
1937_rapidocr_0060,兄理街,兄理街,as_detected,,0.581818,0.721818,vertical,ocr_街巷道路,rapidocr_original_tile,482.0,220.0,512.0,280.0
1937_rapidocr_0004,中正河下街,中正河下街,as_detected,中正河,0.751108,0.911108,vertical,ocr_街巷道路,rapidocr_gray3x_sharp_tile,248.67,223.0,276.0,286.33
1937_rapidocr_0068,中正,中正,as_detected,,0.649929,0.699929,vertical,ocr_文字,rapidocr_original_tile,249.0,223.0,271.0,259.0
1937_rapidocr_0045,瑞兵辣,瑞兵辣,as_detected,场兵辣 | 辣兵,0.633382,0.773382,horizontal,ocr_城防官署,rapidocr_gray3x_sharp_tile,632.67,232.67,683.33,246.0
1937_rapidocr_0017,龍张御史巷,巷史御张龍,reverse_suffix_first,强御史巷 | 张御史巷 | 史巷,0.684059,0.844059,horizontal,ocr_街巷道路,rapidocr_gray3x_sharp_tile,678.33,257.33,754.33,275.33
1937_rapidocr_0104,御张,御张,as_detected,,0.521595,0.571595,horizontal,ocr_文字,rapidocr_original_tile,707.0,258.0,737.0,273.0
1937_rapidocr_0055,大樹巷,巷樹大,reverse_suffix_first,大树巷 | 大榭巷,0.603637,0.743637,horizontal,ocr_街巷道路,rapidocr_gray3x_sharp_tile,809.67,259.33,851.0,274.33
1937_rapidocr_0088,台马打,台马打,as_detected,台馬打,0.592815,0.652815,horizontal,ocr_文字,rapidocr_gray3x_sharp_tile,1025.67,262.33,1077.33,280.33
1937_rapidocr_0025,房国街,街国房,reverse_suffix_first,出房国街 | 社房国街 | 国街,0.671671,0.811671,horizontal,ocr_街巷道路,rapidocr_gray3x_sharp_tile,496.33,272.67,539.0,285.33
1937_rapidocr_0003,百井坊巷,巷坊井百,reverse_suffix_first,井百 | 进百,0.775137,0.925137,horizontal,ocr_街巷道路,rapidocr_gray3x_sharp_tile,370.0,273.33,432.0,294.33
1937_rapidocr_0051,水庙巷,巷庙水,reverse_suffix_first,巷庙 | 港庙,0.616914,0.756914,horizontal,ocr_街巷道路,rapidocr_gray3x_sharp_tile,680.67,287.33,727.67,306.0
1937_rapidocr_0023,余官巷,余官巷,as_detected,徐官巷 | 余官港,0.680911,0.820911,vertical,ocr_街巷道路,rapidocr_original_tile,424.0,293.0,451.0,350.0
1937_rapidocr_0099,大束,大束,as_detected,,0.557042,0.607042,vertical,ocr_文字,rapidocr_gray3x_sharp_tile,683.0,311.0,708.33,364.33
1937_rapidocr_0042,文龍港,港龍文,reverse_suffix_first,文龍巷 | 文巷 | 龍文,0.637771,0.777771,horizontal,ocr_水系,rapidocr_gray3x_sharp_tile,605.0,312.33,651.0,329.67
1937_rapidocr_0079,孤兄院,孤兄院,as_detected,,0.533419,0.673419,vertical,ocr_寺观,rapidocr_original_tile,212.0,352.0,230.0,394.0
1937_rapidocr_0037,文星巷,巷星文,reverse_suffix_first,星巷 | 交星巷,0.64683,0.78683,horizontal,ocr_街巷道路,rapidocr_gray3x_sharp_tile,636.67,357.0,682.67,371.0
1937_rapidocr_0010,石板巷,巷板石,reverse_suffix_first,石板港 | 板石,0.724272,0.864272,horizontal,ocr_街巷道路,rapidocr_original_tile,811.0,363.0,850.0,380.0
1937_rapidocr_0092,林道,林道,as_detected,,0.589318,0.639318,horizontal,ocr_文字,rapidocr_gray3x_sharp_tile,659.33,373.0,709.33,395.33
1937_rapidocr_0020,青雲街,青雲街,as_detected,青云街 | 青雪街 | 青营街,0.686889,0.826889,vertical,ocr_街巷道路,rapidocr_gray3x_sharp_tile,573.0,373.33,589.67,421.67
1937_rapidocr_0061,照废寺,寺废照,reverse_suffix_first,照度寺,0.611089,0.721089,horizontal,ocr_寺观,rapidocr_gray3x_sharp_full,75.0,384.67,113.33,399.0
1937_rapidocr_0080,20街,街02,reverse_suffix_first,,0.551195,0.671195,horizontal,ocr_街巷道路,rapidocr_adaptive3x_tile,689.0,386.33,730.33,415.33
1937_rapidocr_0069,黄巷,巷黄,reverse_suffix_first,,0.569547,0.699547,horizontal,ocr_街巷道路,rapidocr_original_tile,416.0,388.0,453.0,407.0
1937_rapidocr_0054,同街六克巷,同街六克巷,as_detected,,0.613799,0.743799,vertical,ocr_街巷道路,rapidocr_gray3x_sharp_full,654.0,390.67,681.33,536.0
1937_rapidocr_0029,楼牌西,楼牌西,as_detected,,0.742256,0.802256,horizontal,ocr_文字,rapidocr_gray3x_sharp_tile,285.0,398.33,330.33,421.33
1937_rapidocr_0074,池塘,塘池,reverse_suffix_first,,0.551918,0.681918,horizontal,ocr_水系,rapidocr_gray3x_sharp_tile,614.0,410.0,656.33,433.33
1937_rapidocr_0022,孩兒巷,巷兒孩,reverse_suffix_first,孩兒港,0.68448,0.82448,diagonal,ocr_街巷道路,rapidocr_gray3x_sharp_tile,403.0,417.67,462.33,460.67
