level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1485	-1	
2	1	1	0	0	0	711	88	51	36	-1	
3	1	1	1	0	0	711	88	51	36	-1	
4	1	1	1	1	0	711	88	51	36	-1	
5	1	1	1	1	1	711	88	51	36	26.854889	Ai
2	1	2	0	0	0	753	62	79	46	-1	
3	1	2	1	0	0	753	62	79	46	-1	
4	1	2	1	1	0	753	62	79	46	-1	
5	1	2	1	1	1	753	62	79	46	38.128906	Ra
2	1	3	0	0	0	764	102	55	21	-1	
3	1	3	1	0	0	764	102	55	21	-1	
4	1	3	1	1	0	764	102	55	21	-1	
5	1	3	1	1	1	764	102	55	21	0.000000	區)
2	1	4	0	0	0	229	160	199	31	-1	
3	1	4	1	0	0	229	160	199	31	-1	
4	1	4	1	1	0	229	160	199	31	-1	
5	1	4	1	1	1	225	156	18	41	18.525200	和
5	1	4	1	1	2	242	160	45	28	15.465500	全
5	1	4	1	1	3	286	156	37	41	28.545731	|
5	1	4	1	1	4	337	156	27	41	51.442215	mm
5	1	4	1	1	5	363	168	24	23	3.830780	號
5	1	4	1	1	6	386	156	27	41	0.000000	二
5	1	4	1	1	7	412	156	18	41	0.000000	訪
2	1	5	0	0	0	735	117	90	43	-1	
3	1	5	1	0	0	735	117	90	43	-1	
4	1	5	1	1	0	735	117	90	43	-1	
5	1	5	1	1	1	735	117	29	15	0.000000	吧
5	1	5	1	1	2	766	120	37	40	28.753754	圖
5	1	5	1	1	3	806	117	19	38	87.016815	圖
2	1	6	0	0	0	774	153	55	24	-1	
3	1	6	1	0	0	774	153	55	24	-1	
4	1	6	1	1	0	774	153	55	24	-1	
5	1	6	1	1	1	774	153	55	24	7.207481	說
2	1	7	0	0	0	805	175	40	6	-1	
3	1	7	1	0	0	805	175	40	6	-1	
4	1	7	1	1	0	805	175	40	6	-1	
5	1	7	1	1	1	805	175	40	6	0.000000	~
2	1	8	0	0	0	0	178	68	17	-1	
3	1	8	1	0	0	0	178	68	17	-1	
4	1	8	1	1	0	0	178	68	17	-1	
5	1	8	1	1	1	0	178	68	17	0.000000	和
2	1	9	0	0	0	430	155	124	46	-1	
3	1	9	1	0	0	430	155	124	46	-1	
4	1	9	1	1	0	430	155	124	46	-1	
5	1	9	1	1	1	430	155	55	46	71.476166	人
5	1	9	1	1	2	487	180	67	21	18.107666	和
2	1	10	0	0	0	318	219	21	24	-1	
3	1	10	1	0	0	318	219	21	24	-1	
4	1	10	1	1	0	318	219	21	24	-1	
5	1	10	1	1	1	318	219	21	24	25.913826	過
2	1	11	0	0	0	673	229	65	47	-1	
3	1	11	1	0	0	673	229	65	47	-1	
4	1	11	1	1	0	673	229	65	47	-1	
5	1	11	1	1	1	673	229	65	47	0.000000	宮
5	1	11	1	1	2	708	224	32	71	0.000000	軸
2	1	12	0	0	0	207	244	50	74	-1	
3	1	12	1	0	0	207	244	50	74	-1	
4	1	12	1	1	0	207	244	50	74	-1	
5	1	12	1	1	1	207	244	50	74	4.638336	則
2	1	13	0	0	0	265	291	31	21	-1	
3	1	13	1	0	0	265	291	31	21	-1	
4	1	13	1	1	0	265	291	31	21	-1	
5	1	13	1	1	1	265	291	31	21	0.000000	蕊
5	1	13	1	1	2	286	286	14	31	7.264137	芭
2	1	14	0	0	0	738	226	111	88	-1	
3	1	14	1	0	0	738	226	111	88	-1	
4	1	14	1	1	0	738	226	111	88	-1	
5	1	14	1	1	1	738	226	111	88	0.000000	計
2	1	15	0	0	0	0	278	65	56	-1	
3	1	15	1	0	0	0	278	65	56	-1	
4	1	15	1	1	0	0	278	65	56	-1	
5	1	15	1	1	1	0	278	65	56	0.000000	芋
2	1	16	0	0	0	249	311	51	36	-1	
3	1	16	1	0	0	249	311	51	36	-1	
4	1	16	1	1	0	249	311	51	36	-1	
5	1	16	1	1	1	249	318	13	29	0.000000	W
5	1	16	1	1	2	275	311	25	35	0.000000	點
2	1	17	0	0	0	271	343	37	39	-1	
3	1	17	1	0	0	271	343	37	39	-1	
4	1	17	1	1	0	271	343	37	39	-1	
5	1	17	1	1	1	271	343	37	39	13.726654	國
2	1	18	0	0	0	265	382	36	43	-1	
3	1	18	1	0	0	265	382	36	43	-1	
4	1	18	1	1	0	265	382	36	43	-1	
5	1	18	1	1	1	265	382	36	43	36.775192	ll
2	1	19	0	0	0	985	381	17	22	-1	
3	1	19	1	0	0	985	381	17	22	-1	
4	1	19	1	1	0	985	381	17	22	-1	
5	1	19	1	1	1	985	381	17	22	35.305359	生
2	1	20	0	0	0	287	416	51	38	-1	
3	1	20	1	0	0	287	416	51	38	-1	
4	1	20	1	1	0	287	416	51	38	-1	
5	1	20	1	1	1	287	416	51	38	45.613365	|
2	1	21	0	0	0	934	429	17	19	-1	
3	1	21	1	0	0	934	429	17	19	-1	
4	1	21	1	1	0	934	429	17	19	-1	
5	1	21	1	1	1	934	429	2	19	24.055389	了
5	1	21	1	1	2	939	432	12	11	0.000000	廬
2	1	22	0	0	0	42	461	60	17	-1	
3	1	22	1	0	0	42	461	60	17	-1	
4	1	22	1	1	0	42	461	60	17	-1	
5	1	22	1	1	1	38	457	10	30	13.163773	“
5	1	22	1	1	2	47	461	10	17	0.000000	帝
5	1	22	1	1	3	60	465	6	13	0.000000	事
5	1	22	1	1	4	68	465	11	12	89.493195	人
5	1	22	1	1	5	81	464	11	10	13.732063	本
5	1	22	1	1	6	94	464	8	11	58.727261	全
2	1	23	0	0	0	69	476	22	12	-1	
3	1	23	1	0	0	69	476	22	12	-1	
4	1	23	1	1	0	69	476	22	12	-1	
5	1	23	1	1	1	69	476	22	12	0.000000	、
2	1	24	0	0	0	850	453	37	28	-1	
3	1	24	1	0	0	850	453	37	28	-1	
4	1	24	1	1	0	850	453	37	28	-1	
5	1	24	1	1	1	850	469	2	10	20.459839	!
5	1	24	1	1	2	853	453	34	28	0.000000	嘆
2	1	25	0	0	0	1009	479	71	11	-1	
3	1	25	1	0	0	1009	479	71	11	-1	
4	1	25	1	1	0	1009	479	71	11	-1	
5	1	25	1	1	1	1009	479	71	11	0.000000	讀
5	1	25	1	1	2	1063	462	16	32	92.402603	一
2	1	26	0	0	0	0	478	48	53	-1	
3	1	26	1	0	0	0	478	48	53	-1	
4	1	26	1	1	0	0	478	48	53	-1	
5	1	26	1	1	1	0	478	48	53	5.730560	讓
2	1	27	0	0	0	284	487	16	13	-1	
3	1	27	1	0	0	284	487	16	13	-1	
4	1	27	1	1	0	284	487	16	13	-1	
5	1	27	1	1	1	284	487	16	13	0.000000	戰
2	1	28	0	0	0	979	484	17	18	-1	
3	1	28	1	0	0	979	484	17	18	-1	
4	1	28	1	1	0	979	484	17	18	-1	
5	1	28	1	1	1	979	484	17	18	0.000000	向
5	1	28	1	1	2	992	480	9	31	0.000000	『
2	1	29	0	0	0	354	541	126	45	-1	
3	1	29	1	0	0	354	541	126	45	-1	
4	1	29	1	1	0	354	541	126	45	-1	
5	1	29	1	1	1	354	541	126	45	16.193161	|
5	1	29	1	1	2	458	536	27	58	69.844360	/
2	1	30	0	0	0	484	546	60	74	-1	
3	1	30	1	0	0	484	546	60	74	-1	
4	1	30	1	1	0	484	546	60	74	-1	
5	1	30	1	1	1	484	546	60	74	0.000000	基
2	1	31	0	0	0	991	577	25	27	-1	
3	1	31	1	0	0	991	577	25	27	-1	
4	1	31	1	1	0	991	577	25	27	-1	
5	1	31	1	1	1	991	577	25	27	0.000000	歸
2	1	32	0	0	0	216	637	43	11	-1	
3	1	32	1	0	0	216	637	43	11	-1	
4	1	32	1	1	0	216	637	43	11	-1	
5	1	32	1	1	1	216	638	17	10	17.812660	地
5	1	32	1	1	2	238	638	10	9	2.661499	下
5	1	32	1	1	3	250	637	9	10	0.000000	困
2	1	33	0	0	0	236	674	42	11	-1	
3	1	33	1	0	0	236	674	42	11	-1	
4	1	33	1	1	0	236	674	42	11	-1	
5	1	33	1	1	1	236	674	42	11	0.000000	柬
5	1	33	1	1	2	249	666	11	28	0.000000	陸
5	1	33	1	1	3	260	666	9	28	0.000000	=
5	1	33	1	1	4	268	666	13	28	0.000000	潑
2	1	34	0	0	0	275	633	169	42	-1	
3	1	34	1	0	0	275	633	169	42	-1	
4	1	34	1	1	0	275	633	169	42	-1	
