level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1485	-1	
2	1	1	0	0	0	711	88	51	36	-1	
3	1	1	1	0	0	711	88	51	36	-1	
4	1	1	1	1	0	711	88	51	36	-1	
5	1	1	1	1	1	711	88	51	36	24.908440	人
2	1	2	0	0	0	753	62	79	46	-1	
3	1	2	1	0	0	753	62	79	46	-1	
4	1	2	1	1	0	753	62	79	46	-1	
5	1	2	1	1	1	753	62	79	46	36.217419	和
2	1	3	0	0	0	764	102	55	21	-1	
3	1	3	1	0	0	764	102	55	21	-1	
4	1	3	1	1	0	764	102	55	21	-1	
5	1	3	1	1	1	764	105	18	18	0.645157	說
5	1	3	1	1	2	797	102	22	15	12.988396	到
2	1	4	0	0	0	229	160	199	31	-1	
3	1	4	1	0	0	229	160	199	31	-1	
4	1	4	1	1	0	229	160	199	31	-1	
5	1	4	1	1	1	225	156	28	41	0.000000	移
5	1	4	1	1	2	252	160	42	28	76.340851	人
5	1	4	1	1	3	293	156	38	41	0.000000	二
5	1	4	1	1	4	314	168	114	23	36.962433	5
2	1	5	0	0	0	735	117	90	43	-1	
3	1	5	1	0	0	735	117	90	43	-1	
4	1	5	1	1	0	735	117	90	43	-1	
5	1	5	1	1	1	735	117	29	15	0.000000	回
5	1	5	1	1	2	766	117	59	43	34.686722	區
2	1	6	0	0	0	774	153	55	24	-1	
3	1	6	1	0	0	774	153	55	24	-1	
4	1	6	1	1	0	774	153	55	24	-1	
5	1	6	1	1	1	774	156	30	21	0.000000	引
5	1	6	1	1	2	814	153	15	24	0.000000	全
2	1	7	0	0	0	805	175	40	6	-1	
3	1	7	1	0	0	805	175	40	6	-1	
4	1	7	1	1	0	805	175	40	6	-1	
5	1	7	1	1	1	805	175	40	6	38.070808	1
2	1	8	0	0	0	0	178	68	17	-1	
3	1	8	1	0	0	0	178	68	17	-1	
4	1	8	1	1	0	0	178	68	17	-1	
5	1	8	1	1	1	0	178	68	17	6.220566	1
2	1	9	0	0	0	430	155	124	46	-1	
3	1	9	1	0	0	430	155	124	46	-1	
4	1	9	1	1	0	430	155	124	46	-1	
5	1	9	1	1	1	430	155	45	46	0.000000	苑
5	1	9	1	1	2	503	180	51	21	17.017982	入
2	1	10	0	0	0	318	219	21	24	-1	
3	1	10	1	0	0	318	219	21	24	-1	
4	1	10	1	1	0	318	219	21	24	-1	
5	1	10	1	1	1	318	219	21	24	0.000000	和
2	1	11	0	0	0	673	229	65	47	-1	
3	1	11	1	0	0	673	229	65	47	-1	
4	1	11	1	1	0	673	229	65	47	-1	
5	1	11	1	1	1	673	229	65	47	1.936707	相
2	1	12	0	0	0	207	244	50	74	-1	
3	1	12	1	0	0	207	244	50	74	-1	
4	1	12	1	1	0	207	244	50	74	-1	
5	1	12	1	1	1	207	244	50	74	18.320396	全
2	1	13	0	0	0	265	291	31	21	-1	
3	1	13	1	0	0	265	291	31	21	-1	
4	1	13	1	1	0	265	291	31	21	-1	
5	1	13	1	1	1	265	291	31	21	0.000000	巨
5	1	13	1	1	2	289	286	11	31	77.350853	」
2	1	14	0	0	0	738	226	111	88	-1	
3	1	14	1	0	0	738	226	111	88	-1	
4	1	14	1	1	0	738	226	111	88	-1	
5	1	14	1	1	1	738	226	111	88	0.000000	才
2	1	15	0	0	0	249	311	51	36	-1	
3	1	15	1	0	0	249	311	51	36	-1	
4	1	15	1	1	0	249	311	51	36	-1	
5	1	15	1	1	1	249	311	51	36	60.962353	生
5	1	15	1	1	2	276	307	28	54	3.441734	是
2	1	16	0	0	0	271	343	37	39	-1	
3	1	16	1	0	0	271	343	37	39	-1	
4	1	16	1	1	0	271	343	37	39	-1	
5	1	16	1	1	1	271	343	37	39	0.000000	寺
2	1	17	0	0	0	424	288	66	76	-1	
3	1	17	1	0	0	424	288	66	76	-1	
4	1	17	1	1	0	424	288	66	76	-1	
5	1	17	1	1	1	424	288	66	76	39.759182	各
2	1	18	0	0	0	265	382	36	43	-1	
3	1	18	1	0	0	265	382	36	43	-1	
4	1	18	1	1	0	265	382	36	43	-1	
5	1	18	1	1	1	265	382	36	43	18.135468	到
2	1	19	0	0	0	985	381	17	22	-1	
3	1	19	1	0	0	985	381	17	22	-1	
4	1	19	1	1	0	985	381	17	22	-1	
5	1	19	1	1	1	985	381	17	22	18.178513	三
2	1	20	0	0	0	287	416	51	38	-1	
3	1	20	1	0	0	287	416	51	38	-1	
4	1	20	1	1	0	287	416	51	38	-1	
5	1	20	1	1	1	287	416	51	38	0.000000	工
2	1	21	0	0	0	934	429	17	19	-1	
3	1	21	1	0	0	934	429	17	19	-1	
4	1	21	1	1	0	934	429	17	19	-1	
5	1	21	1	1	1	934	429	17	19	0.000000	_
2	1	22	0	0	0	42	461	60	17	-1	
3	1	22	1	0	0	42	461	60	17	-1	
4	1	22	1	1	0	42	461	60	17	-1	
5	1	22	1	1	1	42	461	15	17	0.000000	彷
5	1	22	1	1	2	57	464	45	14	0.000000	當
2	1	23	0	0	0	69	476	22	12	-1	
3	1	23	1	0	0	69	476	22	12	-1	
4	1	23	1	1	0	69	476	22	12	-1	
5	1	23	1	1	1	69	476	22	12	0.000000	潑
2	1	24	0	0	0	1009	479	71	11	-1	
3	1	24	1	0	0	1009	479	71	11	-1	
4	1	24	1	1	0	1009	479	71	11	-1	
5	1	24	1	1	1	1009	479	71	11	7.561806	站
2	1	25	0	0	0	0	478	48	53	-1	
3	1	25	1	0	0	0	478	48	53	-1	
4	1	25	1	1	0	0	478	48	53	-1	
5	1	25	1	1	1	0	478	48	53	0.000000	1
2	1	26	0	0	0	284	487	16	13	-1	
3	1	26	1	0	0	284	487	16	13	-1	
4	1	26	1	1	0	284	487	16	13	-1	
5	1	26	1	1	1	284	487	16	13	31.449905	在
2	1	27	0	0	0	354	541	126	45	-1	
3	1	27	1	0	0	354	541	126	45	-1	
4	1	27	1	1	0	354	541	126	45	-1	
5	1	27	1	1	1	354	541	126	45	64.295090	一
5	1	27	1	1	2	403	536	34	58	37.854000	時
5	1	27	1	1	3	456	536	25	58	54.922203	(
2	1	28	0	0	0	484	546	60	74	-1	
3	1	28	1	0	0	484	546	60	74	-1	
4	1	28	1	1	0	484	546	60	74	-1	
5	1	28	1	1	1	484	546	60	74	49.858688	二
2	1	29	0	0	0	991	577	25	27	-1	
3	1	29	1	0	0	991	577	25	27	-1	
4	1	29	1	1	0	991	577	25	27	-1	
5	1	29	1	1	1	991	577	25	27	36.993034	名
2	1	30	0	0	0	216	637	43	11	-1	
3	1	30	1	0	0	216	637	43	11	-1	
4	1	30	1	1	0	216	637	43	11	-1	
5	1	30	1	1	1	216	637	43	11	22.064987	人
2	1	31	0	0	0	236	674	42	11	-1	
3	1	31	1	0	0	236	674	42	11	-1	
4	1	31	1	1	0	236	674	42	11	-1	
5	1	31	1	1	1	236	674	42	11	0.000000	LU
2	1	32	0	0	0	275	633	169	42	-1	
3	1	32	1	0	0	275	633	169	42	-1	
4	1	32	1	1	0	275	633	169	42	-1	
5	1	32	1	1	1	275	634	38	41	27.526695	和
5	1	32	1	1	2	331	633	64	41	0.000000	二
5	1	32	1	1	3	420	639	24	34	0.000000	寬
2	1	33	0	0	0	266	710	32	11	-1	
3	1	33	1	0	0	266	710	32	11	-1	
4	1	33	1	1	0	266	710	32	11	-1	
5	1	33	1	1	1	266	710	10	11	68.392517	生
5	1	33	1	1	2	285	710	13	10	0.000000	次
2	1	34	0	0	0	285	675	99	36	-1	
3	1	34	1	0	0	285	675	99	36	-1	
4	1	34	1	1	0	285	675	99	36	-1	
5	1	34	1	1	1	285	675	99	36	16.535484	邊區
2	1	35	0	0	0	448	677	67	63	-1	
3	1	35	1	0	0	448	677	67	63	-1	
4	1	35	1	1	0	448	677	67	63	-1	
5	1	35	1	1	1	448	677	67	63	0.000000	人
2	1	36	0	0	0	266	741	182	43	-1	
3	1	36	1	0	0	266	741	182	43	-1	
4	1	36	1	1	0	266	741	182	43	-1	
5	1	36	1	1	1	266	742	44	11	19.844345	還
5	1	36	1	1	2	320	745	50	29	3.658836	生
5	1	36	1	1	3	369	741	33	43	2.523262	全
5	1	36	1	1	4	402	746	46	29	9.705467	三
2	1	37	0	0	0	261	827	38	21	-1	
3	1	37	1	0	0	261	827	38	21	-1	
