level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1485	-1	
2	1	1	0	0	0	711	88	51	36	-1	
3	1	1	1	0	0	711	88	51	36	-1	
4	1	1	1	1	0	711	88	51	36	-1	
5	1	1	1	1	1	711	88	51	36	26.854889	Ai
2	1	2	0	0	0	753	62	79	46	-1	
3	1	2	1	0	0	753	62	79	46	-1	
4	1	2	1	1	0	753	62	79	46	-1	
5	1	2	1	1	1	753	62	79	46	55.058640	Wes
2	1	3	0	0	0	764	102	55	21	-1	
3	1	3	1	0	0	764	102	55	21	-1	
4	1	3	1	1	0	764	102	55	21	-1	
5	1	3	1	1	1	764	102	55	21	11.624054	femal
2	1	4	0	0	0	229	160	199	31	-1	
3	1	4	1	0	0	229	160	199	31	-1	
4	1	4	1	1	0	229	160	199	31	-1	
5	1	4	1	1	1	225	156	18	41	18.525200	和
5	1	4	1	1	2	242	160	45	28	15.465500	全
5	1	4	1	1	3	286	156	37	41	28.545731	|
5	1	4	1	1	4	314	160	114	31	31.816238	et
2	1	5	0	0	0	735	117	90	43	-1	
3	1	5	1	0	0	735	117	90	43	-1	
4	1	5	1	1	0	735	117	90	43	-1	
5	1	5	1	1	1	735	117	29	15	27.090065	oo
5	1	5	1	1	2	766	117	59	43	72.567322	ee
2	1	6	0	0	0	774	153	55	24	-1	
3	1	6	1	0	0	774	153	55	24	-1	
4	1	6	1	1	0	774	153	55	24	-1	
5	1	6	1	1	1	774	153	55	24	24.790756	a
2	1	7	0	0	0	805	175	40	6	-1	
3	1	7	1	0	0	805	175	40	6	-1	
4	1	7	1	1	0	805	175	40	6	-1	
5	1	7	1	1	1	805	176	8	4	0.000000	~
5	1	7	1	1	2	816	175	29	6	0.000000	ER
2	1	8	0	0	0	0	178	68	17	-1	
3	1	8	1	0	0	0	178	68	17	-1	
4	1	8	1	1	0	0	178	68	17	-1	
5	1	8	1	1	1	0	178	68	17	14.420898	a
2	1	9	0	0	0	430	155	124	46	-1	
3	1	9	1	0	0	430	155	124	46	-1	
4	1	9	1	1	0	430	155	124	46	-1	
5	1	9	1	1	1	430	155	55	46	71.476166	人
5	1	9	1	1	2	487	180	67	21	18.107666	和
2	1	10	0	0	0	318	219	21	24	-1	
3	1	10	1	0	0	318	219	21	24	-1	
4	1	10	1	1	0	318	219	21	24	-1	
5	1	10	1	1	1	318	219	21	24	85.528900	We
2	1	11	0	0	0	673	229	65	47	-1	
3	1	11	1	0	0	673	229	65	47	-1	
4	1	11	1	1	0	673	229	65	47	-1	
5	1	11	1	1	1	673	229	65	47	62.734890	me
2	1	12	0	0	0	207	244	50	74	-1	
3	1	12	1	0	0	207	244	50	74	-1	
4	1	12	1	1	0	207	244	50	74	-1	
5	1	12	1	1	1	207	244	50	74	50.986217	a
2	1	13	0	0	0	265	291	31	21	-1	
3	1	13	1	0	0	265	291	31	21	-1	
4	1	13	1	1	0	265	291	31	21	-1	
5	1	13	1	1	1	265	291	31	21	24.396164	\a-\
2	1	14	0	0	0	738	226	111	88	-1	
3	1	14	1	0	0	738	226	111	88	-1	
4	1	14	1	1	0	738	226	111	88	-1	
5	1	14	1	1	1	738	226	111	88	16.224487	La
2	1	15	0	0	0	0	278	65	56	-1	
3	1	15	1	0	0	0	278	65	56	-1	
4	1	15	1	1	0	0	278	65	56	-1	
5	1	15	1	1	1	0	278	65	56	46.700481	es
2	1	16	0	0	0	249	311	51	36	-1	
3	1	16	1	0	0	249	311	51	36	-1	
4	1	16	1	1	0	249	311	51	36	-1	
5	1	16	1	1	1	249	311	51	36	25.669220	isa
2	1	17	0	0	0	271	343	37	39	-1	
3	1	17	1	0	0	271	343	37	39	-1	
4	1	17	1	1	0	271	343	37	39	-1	
5	1	17	1	1	1	271	343	37	39	74.806732	=
2	1	18	0	0	0	424	288	66	76	-1	
3	1	18	1	0	0	424	288	66	76	-1	
4	1	18	1	1	0	424	288	66	76	-1	
5	1	18	1	1	1	424	288	66	76	6.489754	BL
2	1	19	0	0	0	265	382	36	43	-1	
3	1	19	1	0	0	265	382	36	43	-1	
4	1	19	1	1	0	265	382	36	43	-1	
5	1	19	1	1	1	265	382	36	43	36.775192	ll
2	1	20	0	0	0	985	381	17	22	-1	
3	1	20	1	0	0	985	381	17	22	-1	
4	1	20	1	1	0	985	381	17	22	-1	
5	1	20	1	1	1	985	381	17	22	38.274391	ay!
2	1	21	0	0	0	287	416	51	38	-1	
3	1	21	1	0	0	287	416	51	38	-1	
4	1	21	1	1	0	287	416	51	38	-1	
5	1	21	1	1	1	287	416	51	38	30.254478	jae
2	1	22	0	0	0	934	429	17	19	-1	
3	1	22	1	0	0	934	429	17	19	-1	
4	1	22	1	1	0	934	429	17	19	-1	
5	1	22	1	1	1	934	429	17	19	36.173325	|r
2	1	23	0	0	0	42	461	60	17	-1	
3	1	23	1	0	0	42	461	60	17	-1	
4	1	23	1	1	0	42	461	60	17	-1	
5	1	23	1	1	1	38	457	28	30	0.000000	‘HE
5	1	23	1	1	2	70	457	36	30	0.000000	RAB,
2	1	24	0	0	0	69	476	22	12	-1	
3	1	24	1	0	0	69	476	22	12	-1	
4	1	24	1	1	0	69	476	22	12	-1	
5	1	24	1	1	1	69	476	22	12	65.986465	BS.
2	1	25	0	0	0	850	453	37	28	-1	
3	1	25	1	0	0	850	453	37	28	-1	
4	1	25	1	1	0	850	453	37	28	-1	
5	1	25	1	1	1	850	453	37	28	23.692444	fei
2	1	26	0	0	0	1009	479	71	11	-1	
3	1	26	1	0	0	1009	479	71	11	-1	
4	1	26	1	1	0	1009	479	71	11	-1	
5	1	26	1	1	1	1009	479	71	11	0.000000	——
2	1	27	0	0	0	0	478	48	53	-1	
3	1	27	1	0	0	0	478	48	53	-1	
4	1	27	1	1	0	0	478	48	53	-1	
5	1	27	1	1	1	0	478	48	53	21.106651	sa
2	1	28	0	0	0	284	487	16	13	-1	
3	1	28	1	0	0	284	487	16	13	-1	
4	1	28	1	1	0	284	487	16	13	-1	
5	1	28	1	1	1	284	487	16	13	14.355301	ea.
2	1	29	0	0	0	979	484	17	18	-1	
3	1	29	1	0	0	979	484	17	18	-1	
4	1	29	1	1	0	979	484	17	18	-1	
5	1	29	1	1	1	979	484	17	18	49.240932	ig!
2	1	30	0	0	0	354	541	126	45	-1	
3	1	30	1	0	0	354	541	126	45	-1	
4	1	30	1	1	0	354	541	126	45	-1	
5	1	30	1	1	1	350	536	25	58	69.612244	|
5	1	30	1	1	2	398	536	39	58	2.512711	mn
5	1	30	1	1	3	461	536	20	58	52.224163	/
2	1	31	0	0	0	484	546	60	74	-1	
3	1	31	1	0	0	484	546	60	74	-1	
4	1	31	1	1	0	484	546	60	74	-1	
5	1	31	1	1	1	484	546	60	74	56.984802	iN
2	1	32	0	0	0	991	577	25	27	-1	
3	1	32	1	0	0	991	577	25	27	-1	
4	1	32	1	1	0	991	577	25	27	-1	
5	1	32	1	1	1	991	577	25	27	48.060551	1
2	1	33	0	0	0	216	637	43	11	-1	
3	1	33	1	0	0	216	637	43	11	-1	
4	1	33	1	1	0	216	637	43	11	-1	
5	1	33	1	1	1	216	637	43	11	0.000000	RAG
2	1	34	0	0	0	236	674	42	11	-1	
3	1	34	1	0	0	236	674	42	11	-1	
4	1	34	1	1	0	236	674	42	11	-1	
5	1	34	1	1	1	236	674	42	11	34.677689	aS
2	1	35	0	0	0	275	633	169	42	-1	
3	1	35	1	0	0	275	633	169	42	-1	
4	1	35	1	1	0	275	633	169	42	-1	
5	1	35	1	1	1	275	634	38	41	31.820221	\#
5	1	35	1	1	2	331	629	55	55	43.157959	Ie
5	1	35	1	1	3	399	639	45	35	74.026085	Se
2	1	36	0	0	0	266	710	32	11	-1	
3	1	36	1	0	0	266	710	32	11	-1	
4	1	36	1	1	0	266	710	32	11	-1	
5	1	36	1	1	1	266	710	32	11	29.406982	aoe
2	1	37	0	0	0	285	675	99	36	-1	
3	1	37	1	0	0	285	675	99	36	-1	
4	1	37	1	1	0	285	675	99	36	-1	
5	1	37	1	1	1	281	671	9	53	29.397873	>
5	1	37	1	1	2	285	675	99	36	47.069744	Nala
2	1	38	0	0	0	448	677	67	63	-1	
3	1	38	1	0	0	448	677	67	63	-1	
4	1	38	1	1	0	448	677	67	63	-1	
